stage,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,15.73,0,3.15,0,0,0
 14-21,0,0,1,0,0,0,1,0,2,1,0,0,1,2
 24-34,0,0,0,1.64,0,0,0,0,7.39,0,0,0.82,0,0.82
 36-46,0,0,0.81,1.61,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,1.15,0.57,1.72,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0
