stage,blastomeres,endoderm,eye,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,0,0,5.26,0,0,5.26,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,12.59,3.15,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,3
 24-34,0,0,2.46,0.82,0,0,0,0,0,5.75,0,0,0,0,0,0,1.64
 36-46,0,0,1.61,0.81,0,0,0,0,0,4.83,0,0,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,0,0,0,0,1.72,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,14.72,0,0,0,0,0.98,0,2.94
 72-82,0,0,0.98,0,0,0,0,0.98,0,11.78,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,0,0,1.06,1.06,0,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,1.96,0,7.84,0,1.96,0,0,0,0,0
