stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,3,6,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,10,122,3,0,2,1,1,11,2,0,8,34,0,0,1,0,0
 24-34,0,0,0.82,3.28,0,9.85,0,0,0,5.75,0.82,0,0.82,0,0,0.82,0,0,14.78,0,0,5.75,151.04,0,0,0,0,3.28,0,0.82,0,1.64,37.76,0,0,7.39,0,0.82
 36-46,0,0,0,3.22,0,16.11,0.81,0,0.81,7.25,0,0,1.61,0,0.81,0,0.81,0,12.09,0,0,4.03,100.71,0,0.81,0.81,0,5.64,0,0,1.61,0,36.26,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,0,28.12,0,0,0,16.07,0.57,0,0,0,0,0,0,0.57,20.66,0,1.72,4.02,51.64,0,0,0,0,2.87,0,0,0,0,13.77,0,0,1.72,0,0
 60-70,0,0,0,1.96,0,32.39,0,0,0,10.8,0.98,0,0,0.98,0.98,0,0,0,17.67,0,0.98,0.98,39.26,0,0.98,0,0,2.94,0,0,0,0,2.94,0,0.98,0,0,0
 72-82,0,0,0,4.91,0.98,19.63,0,0,0,12.76,0,0,0,0.98,0.98,0,0.98,0,22.58,0.98,0.98,3.93,46.14,1.96,1.96,1.96,0,0,0,0,0,0,0.98,0,0,2.94,0,0
 84-94,0,0,0,3.19,0,12.74,0,0,0,3.19,0,0,1.06,0,0,0,2.12,1.06,8.5,0,2.12,0,14.87,1.06,0,0,0,6.37,0,1.06,0,0,7.43,1.06,1.06,1.06,1.06,0
 96-106,0,0,0,6.56,0,7.65,0,0,1.09,14.21,1.09,0,0,0,0,0,2.19,0,13.11,0,0,2.19,14.21,0,1.09,1.09,0,0,0,0,0,0,4.37,0,0,1.09,1.09,0
108-118,0,0,0,1.53,0.77,6.13,0,0.77,0,9.19,0,0,0,0.77,0,0.77,0.77,0,9.96,0.77,0,5.36,14.55,0,1.53,2.3,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0
120,0,0,0,5.88,0,5.88,0,0,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,13.72,1.96,1.96,1.96,0,1.96,0,0,0,0,1.96,0,0,3.92,0,0
