stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,50.35,3.15,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,73,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,22,35,9,0,0,0,0,0,1,0,1,27,0,0,0,0,0
 24-34,0,0,0,0,253.64,0,0,5.75,0,0,2.46,2.46,0.82,0,0,0.82,0.82,0,0,0.82,58.28,1.64,0,69.77,86.19,11.49,0,0.82,0,0,3.28,0,0.82,0.82,23.8,0,0,5.75,0,0
 36-46,0,0,0,0,107.96,0,0,11.28,0,8.86,4.83,7.25,0,0,0,0,0,0.81,0,0,82.18,0.81,0.81,36.26,95.07,10.47,0,0.81,0,0,1.61,0.81,0,0,31.42,0,0,4.83,0,0
 48-58,0,0,0,0,66.56,0,0,15.49,0.57,7.46,0.57,6.31,0,0,0,0,0,0,0,1.15,77.46,1.15,0.57,14.92,60.82,5.16,0.57,2.3,0,0,0.57,0,0,0,16.64,0,0,1.72,0,0
 60-70,0.98,0,0,0,83.43,0,0,10.8,0,14.72,0.98,2.94,0,0,0,0,0.98,0,0,0,46.13,0.98,0,2.94,28.46,0.98,0.98,0.98,0,0,0.98,0,0,0,1.96,0,0,3.93,0,0
 72-82,0,0,0.98,0,59.88,2.94,0,40.25,0,9.82,2.94,28.47,0,0,0,0,0,0.98,0,0.98,186.52,1.96,2.94,14.72,134.49,0,0.98,1.96,0,0,1.96,0,0,0,11.78,0,4.91,14.72,1.96,0.98
 84-94,0,0,1.06,0,166.74,1.06,0,25.49,1.06,13.81,2.12,6.37,1.06,0,0,1.06,0,0,0,0,101.96,2.12,0,8.5,59.47,0,0,1.06,0,0,0,0,0,0,4.25,1.06,1.06,10.62,2.12,0
 96-106,0,0,0,0,116.93,0,0,33.88,1.09,15.3,1.09,9.84,0,0,1.09,0,0,0,0,1.09,53.55,0,0,6.56,59.01,0,2.19,5.46,0,1.09,2.19,0,0,0,8.74,0,1.09,15.3,0,0
108-118,0,0,0,0,119.49,0.77,0,26.81,0.77,22.21,0.77,11.49,0,0,0.77,0,0,0,0.77,0.77,36,0.77,1.53,3.06,75.83,0,0.77,1.53,0,0.77,0.77,0,0,0,0.77,0,0.77,19.15,0.77,0
120,0,0,0,0,117.59,0,1.96,33.32,0,9.8,1.96,7.84,0,0,0,0,0,0,0,0,25.48,0,0,3.92,66.63,0,0,3.92,0,3.92,0,0,0,0,0,0,0,13.72,1.96,0
