stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0,0,0,0,1,1,3,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,1.64,0,0,0,0,2.46,0,0,1.64,21.34,0.82,0,0.82,0,0,0.82,7.39,0,0,0.82
 36-46,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0,3.22,0.81,0,0,8.06,0,0,0,0,0,0,3.22,0,0,1.61
 48-58,0,0,0,0,0,5.16,0,0,0.57,0.57,0,0,0,0,3.44,0,0,0,10.33,0,0.57,0,0,0,0,2.87,0,0,1.15
 60-70,0,0,0,1.96,0,7.85,0,0,0,1.96,0,0,0,0,3.93,0,0,0.98,6.87,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,18.65,1.96,4.91,0.98,0,0,0,0,0.98,8.83,0.98,0,2.94,15.71,0,1.96,0.98,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,1.06,8.5,1.06,0,0,5.31,1.06,2.12,0,0,5.31,0,0,1.06,7.43,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,1.09,0,1.09,0,9.84,2.19,0,3.28,5.46,1.09,0,0,0,6.56,1.09,2.19,1.09,7.65,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0,6.13,0,0.77,0,8.43,0,0,1.53,0,4.6,0,0,0,6.89,0,0,0,0.77,0,0,0,1.53,0,3.06
120,0,1.96,0,5.88,1.96,7.84,0,5.88,1.96,17.64,0,0,0,5.88,1.96,0,0,3.92,13.72,0,1.96,0,5.88,0,0,0,0,0,7.84
