stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,18.4,0,0,23.66,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,189.27,13.14,0,0,60.46,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,3.15,18.88,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,195.11,31.47,0,0,75.53,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,2,1,0,0,2,2,2,0,0,1,0,0,0,0,5,0,0,3,34,1,2,3,0,0,0,0,6,1,0,7,12,0,0,0,0,0
 24-34,0,0,0.82,0.82,3.28,0,4.1,0,0,1.64,0.82,0,0,0,0.82,0,0,0,0,5.75,0,0,4.1,67.31,0,1.64,0.82,0,0,4.1,0,0,0,0.82,1.64,15.6,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,7.25,0,0.81,1.61,0.81,0.81,0,0,0.81,0,0,0,0,6.45,0,0,3.22,38.67,0.81,0.81,0,0,0,3.22,0,0,0,0,0,12.09,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0.57,6.31,0.57,1.15,3.44,0,0,0.57,0.57,0,0,0.57,0.57,0,8.61,0,0.57,2.3,32.71,1.15,1.15,0,0,0,2.3,0,0,0,0,0,5.16,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,1.96,13.74,1.96,1.96,5.89,0,0,0,0,0,0,0,0,0,18.65,0.98,0,0.98,23.56,0,0.98,0.98,0,0,4.91,0,0,0,0.98,0,2.94,0,0,0.98,0,0.98
 72-82,0,0,1.96,0,1.96,2.94,22.58,1.96,0.98,5.89,0,0,0,0,1.96,0,1.96,0,0,17.67,0,0.98,0.98,23.56,0,1.96,0.98,0,0,4.91,0,0,0,0,0,0,0.98,0,2.94,0,0.98
 84-94,0,0,0,0,2.12,5.31,12.74,0,3.19,6.37,0,0,0,1.06,1.06,1.06,1.06,0,0,10.62,2.12,0,0,22.3,0,1.06,2.12,0,0,7.43,1.06,0,0,0,0,1.06,0,0,3.19,1.06,0
 96-106,0,0,1.09,0,4.37,3.28,17.49,2.19,1.09,8.74,1.09,0,0,3.28,1.09,0,0,0,1.09,16.39,0,0,0,13.11,0,1.09,3.28,0,1.09,6.56,0,0,0,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0.77,0,3.06,0.77,13.79,0.77,2.3,6.89,1.53,0,0,0.77,0.77,0.77,0,0.77,0,13.79,0,0,0,19.15,0.77,0.77,0.77,0,0.77,9.19,0,0,0.77,0.77,0,1.53,0,0,0,0.77,0
120,0,0,1.96,0,3.92,3.92,9.8,0,3.92,5.88,5.88,0,0,1.96,0,1.96,0,0,0,7.84,0,0,0,13.72,0,1.96,1.96,0,0,11.76,0,0,0,0,0,0,1.96,0,0,0,0
