stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,7,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,2,0,0,4,7,1,0,1,0,0,2,8,0,5,4,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0.82,0,0.82,0.82,0,0,0,0,4.93,0,0,0,0,1.64,4.1,0,0,2.46,22.16,0,1.64,0,0,0,11.49,0,0,0.82,12.31,0,0,0,4.1
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,4.03,0,0,0,3.22,0,0,1.61,0,0,8.86,0,0,0.81,79.76,0,2.42,0.81,0,0,12.09,0,0.81,0,13.7,0,0.81,0,8.06
 48-58,0,0,0,0,1.72,0,0,5.16,0.57,0.57,0.57,5.16,0,0,0,1.72,0,0,0,0,1.72,10.33,0,0,0,60.82,0,0.57,1.15,0,0,8.03,0,0,0,10.33,0,0.57,0,5.16
 60-70,0,0,0,0,0.98,0,0,18.65,0,1.96,0,4.91,0,0,0,10.8,0.98,0,1.96,0,0,30.43,0.98,0.98,1.96,77.54,0,0,0,0,0,16.69,0,0,0,16.69,0.98,0,0,3.93
 72-82,0,0,1.96,0,3.93,0,0,10.8,0,0.98,0.98,9.82,0,0,0.98,0.98,1.96,0,0,0,0,31.41,0,1.96,0,51.05,0,0.98,1.96,0,0,10.8,0,0,0,4.91,1.96,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,1.06,10.62,0,0,1.06,4.25,1.06,0,0,7.43,0,1.06,0,0,0,13.81,1.06,2.12,1.06,36.11,0,0,0,0,1.06,56.29,0,0,0,1.06,1.06,1.06,0,3.19
 96-106,0,0,0,0,4.37,1.09,1.09,5.46,0,0,2.19,7.65,3.28,0,1.09,13.11,0,0,1.09,0,0,8.74,3.28,0,2.19,26.23,0,0,1.09,0,1.09,32.79,0,0,0,2.19,1.09,4.37,0,3.28
108-118,0,0,0,0,4.6,0,3.06,9.19,0,0.77,0.77,3.06,1.53,0,0,6.13,0,1.53,0.77,0,0,11.49,0,0,0.77,37.53,0,0,0,0,0,19.92,0,0,0,3.06,1.53,2.3,0,2.3
120,0,0,0,0,5.88,0,0,5.88,0,0,0,9.8,0,0,0,7.84,1.96,0,0,3.92,0,9.8,1.96,1.96,0,31.36,0,0,0,0,0,33.32,0,0,0,3.92,0,0,0,0
