stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,6,0,0,0,0,0,0,0,1,2,18,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0,4.93,0,0,4.1,9.03,1.64,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,10.47,1.61,0,0,0,0,0,0.81,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,0,0,56.23,0,0.57,0.57,1.15,0,0,0,0,0,0,4.02,0,0,1.72,15.49,0.57,0,0,0,0,0,0,0,0,10.33,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,558.49,0,0.98,0,4.91,0,0,0,0,0,0,11.78,0,0,0,57.91,0,0,0,0,1.96,0,0,0,0,10.8,0,0.98,0,0,0
 72-82,0,0,0,7.85,0,0,709.74,0,0,1.96,26.5,0.98,0,1.96,0,2.94,0,22.58,0,0.98,0.98,110.93,0,0.98,0,1.96,0,0,0,0,0,4.91,0,0,3.93,1.96,1.96
 84-94,0,0,0,6.37,0,0,398.26,2.12,0,0,21.24,0,0,2.12,0,3.19,0,20.18,0,1.06,1.06,81.78,0,1.06,0,0,1.06,0,0,0,0,4.25,1.06,0,2.12,2.12,1.06
 96-106,0,1.09,0,13.11,1.09,0,444.79,0,1.09,0,19.67,1.09,1.09,2.19,1.09,3.28,3.28,20.76,1.09,1.09,1.09,65.57,3.28,0,0,0,4.37,0,1.09,0,0,4.37,0,0,5.46,2.19,1.09
108-118,0,0,0,4.6,1.53,0.77,302.56,0,0,0,10.72,1.53,0,0,0,7.66,0.77,10.72,0,1.53,0,68.17,0,0,0,0,1.53,0,0,0,0,2.3,0,0,0,0.77,0
120,0,0,0,3.92,0,0,180.3,0,0,1.96,9.8,1.96,1.96,0,0,7.84,0,15.68,0,0,0,97.99,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0
