stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,33,2,0,1,0,0,0,1,0,13,0,0,0,0,0
 24-34,0,1.64,1.64,3.28,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,2.46,0,9.03,0,0,4.1,164.17,8.21,7.39,1.64,0,0,2.46,0,0,57.46,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,6.45,0,0,0.81,0,0,1.61,0,0,0,0,0.81,0,4.83,0.81,0.81,0,430.23,8.06,6.45,0.81,0,0,3.22,0,0,66.06,0,0,1.61,0,0
 48-58,0,0.57,0,0.57,0,0,43.04,0,1.15,2.3,7.46,0,1.72,0,0,0.57,1.15,0.57,0,14.35,0,2.87,1.72,434.37,4.02,2.87,1.72,0,0.57,6.31,0,0,100.42,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,0,123.67,0,0,0.98,13.74,0,0.98,0.98,0,0.98,0,0.98,0.98,15.7,0,0.98,0,542.78,2.94,3.93,4.91,0,0.98,13.74,0,0,104.04,0,0.98,0.98,0,0
 72-82,0,7.85,0,5.89,0.98,0,137.43,0.98,0,0.98,24.54,8.83,1.96,0,0,0.98,0,1.96,1.96,29.45,0,7.85,0.98,375.98,4.91,6.87,9.82,0,3.93,13.74,0,0,28.47,1.96,5.89,0.98,4.91,0
 84-94,0,2.12,0,4.25,1.06,0,73.28,0,0,1.06,11.68,5.31,4.25,2.12,0,4.25,0,1.06,2.12,13.81,1.06,4.25,1.06,172.05,2.12,4.25,12.74,0,0,71.16,0,0,24.43,0,9.56,2.12,5.31,0
 96-106,0,2.19,1.09,5.46,1.09,0,56.83,0,0,1.09,16.39,9.84,1.09,2.19,0,0,0,5.46,2.19,19.67,0,2.19,3.28,148.63,5.46,2.19,16.39,0,2.19,32.79,0,0,13.11,0,4.37,2.19,7.65,0
108-118,0,0.77,0,5.36,0.77,1.53,45.19,0.77,0,0,13.79,7.66,1.53,1.53,1.53,1.53,0,5.36,3.06,19.92,0,4.6,1.53,154.72,4.6,1.53,18.38,0,2.3,13.79,0,0,3.06,1.53,5.36,1.53,6.13,0
120,0,0,0,1.96,0,0,41.16,0,0,1.96,19.6,3.92,1.96,5.88,0,0,1.96,1.96,0,11.76,0,1.96,0,211.66,1.96,7.84,13.72,0,1.96,3.92,0,0,5.88,0,3.92,1.96,7.84,1.96
