stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,2.46,14.78,0,0,0,17.24,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,5.64,0,12.09,0,0.81,0.81,18.53,0,0
 48-58,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,0,9.18,2.3,10.9,0,0,0,14.35,0,0
 60-70,0,0,0,0,33.37,0.98,6.87,0,0,0,0,0,0,0,10.8,0.98,13.74,0,0,0,40.24,0,0
 72-82,0.98,0.98,0,0,119.76,0,6.87,0,0,0,0,0,0,0,19.63,3.93,15.71,0,0,0,32.39,0,0
 84-94,0,1.06,0,0,60.54,0,3.19,0,0,0,1.06,1.06,0,0,9.56,1.06,11.68,0,2.12,0,14.87,1.06,0
 96-106,0,1.09,0,0,83.06,0,7.65,4.37,1.09,0,0,0,1.09,0,17.49,2.19,19.67,0,1.09,0,7.65,0,0
108-118,0,0,0.77,0.77,51.32,0,8.43,4.6,0,0.77,0,0,0.77,0,14.55,1.53,20.68,0,1.53,0,6.89,0.77,1.53
120,0,0,0,0,23.52,0,0,7.84,0,0,0,0,1.96,0,3.92,1.96,15.68,0,0,0,11.76,0,0
