stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,1.64,0,1.64,0,0,0.82,13.95,0,0,0,0,1.64,0,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0.81,0.81,0,0,0,0,0,0,3.22,0,0,0,0,0.81,12.89,0,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,2.3,0,0.57,0,1.72,0,0,0.57,0.57,0,0,0,24.1,0,1.72,0,0,0.57,8.61,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,13.74,0.98,0,0,1.96,0,0,0,0,0,1.96,0,59.87,0,1.96,0,0.98,0,20.61,1.96,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0
 72-82,0,1.96,0,20.61,16.69,0,155.1,2.94,3.93,6.87,49.08,5.89,0,3.93,7.85,3.93,2.94,2.94,180.63,0,119.76,1.96,2.94,13.74,308.24,1.96,2.94,7.85,1.96,27.49,0,2.94,0.98,0,20.61,4.91,2.94,20.61,1.96,7.85
 84-94,0,0,0,32.92,26.55,2.12,132.75,1.06,2.12,4.25,37.17,12.74,0,0,12.74,8.5,6.37,3.19,542.7,3.19,116.82,1.06,4.25,15.93,271.88,4.25,5.31,3.19,1.06,73.28,0,0,0,0,14.87,3.19,2.12,14.87,7.43,8.5
 96-106,1.09,6.56,0,210.92,178.13,27.32,579.21,17.49,36.06,22.95,192.34,48.09,1.09,16.39,68.85,26.23,13.11,18.58,853.51,2.19,493.97,14.21,26.23,62.29,1020.72,14.21,36.06,36.06,16.39,308.18,1.09,4.37,2.19,0,30.6,22.95,18.58,78.68,24.04,21.86
108-118,0,6.13,0.77,196.85,89.62,41.36,552.26,12.26,49.02,25.28,186.89,49.02,0,9.19,49.02,20.68,29.87,9.96,1581.71,13.79,467.24,13.79,20.68,73.53,1233.2,19.15,17.62,36.77,13.02,274.21,0,7.66,13.79,0,25.28,16.85,10.72,47.49,16.85,34.47
120,1.96,0,0,156.78,84.27,7.84,407.64,19.6,37.24,17.64,141.1,47.03,0,3.92,68.59,7.84,9.8,13.72,897.58,3.92,399.8,13.72,15.68,47.03,1109.24,19.6,17.64,21.56,13.72,197.94,0,15.68,1.96,0,35.28,11.76,7.84,68.59,7.84,15.68
