stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1293.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,34.17,0,0,57.83,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,649.29,10.51,0,0,165.61,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,31.47,0,3.15,22.03,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,355.61,12.59,0,0,147.91,0,3.15,6.29,0,18.88,0,0,0,0,0,0
 14-21,0,0,9,53,19,22,0,0,13,0,0,1,0,1,0,0,0,1,46,0,0,19,274,5,0,3,11,0,0,0,26,2,13,106,0,12,0,0
 24-34,0.82,0,4.1,18.06,2.46,41.86,1.64,4.1,22.16,1.64,0,0,0,0,0,0.82,0.82,0,75.52,0,0.82,34.48,420.28,2.46,1.64,4.93,0,0,5.75,0,0,0,4.93,162.53,0,32.83,0,0
 36-46,0,0,0,6.45,0,41.89,0.81,3.22,18.53,0.81,0,1.61,0,0.81,2.42,0,0.81,0,82.18,0.81,3.22,22.56,269.9,0.81,0.81,4.83,0,0,0,0,0,0,0,111.99,0,24.98,0,2.42
 48-58,0,0,0,8.03,0,49.92,1.72,1.15,37.87,0,0,1.72,0,0,0.57,0,0,0,57.95,0,5.16,24.67,115.91,0.57,0,3.44,0,0.57,1.15,0,0,0.57,0,41.31,0.57,18.94,0,0
 60-70,0,0,0,5.89,0,42.21,1.96,2.94,55.95,1.96,0,0.98,1.96,0,0.98,0.98,0,0,46.13,0,3.93,14.72,89.32,0.98,0,0.98,0,0,0.98,0,0,0,0,18.65,0,10.8,0.98,0
 72-82,0,0,0,12.76,0,33.38,0.98,1.96,85.4,0.98,0,0.98,0.98,0,1.96,0.98,0,0,64.79,0,2.94,13.74,58.9,0,0,0,0,0,0,0,0,0.98,0,8.83,0.98,17.67,0,1.96
 84-94,0,0,0,22.3,0,27.61,1.06,1.06,62.66,0,0,2.12,1.06,0,2.12,4.25,0,0,37.17,0,4.25,12.74,63.72,0,2.12,3.19,0,0,2.12,0,0,0,0,12.74,1.06,7.43,1.06,0
 96-106,0,0,0,5.46,0,14.21,0,2.19,44.81,2.19,0,2.19,0,1.09,3.28,2.19,1.09,0,29.51,0,2.19,9.84,65.57,0,1.09,7.65,0,0,0,0,0,0,0,4.37,0,15.3,0,1.09
108-118,0,0,0,9.96,0,11.49,0,0.77,50.55,0,0,0.77,0,0,2.3,0,0,0,26.04,0,0.77,14.55,61.28,0,1.53,0.77,0,0,0.77,0,0,0,0,3.06,0,3.83,1.53,0
120,0,0,0,5.88,1.96,21.56,0,0,35.28,1.96,0,0,3.92,0,0,1.96,0,0,11.76,0,1.96,9.8,52.91,0,0,1.96,0,0,0,0,0,0,0,1.96,0,7.84,0,0
