stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,3,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,4,0,0,2,42,2,0,0,1,0,3,2,0,0,3,13,0,0,2,0,0
 24-34,0,0,0,9.03,0,0,13.13,0,0,0,5.75,0.82,1.64,0,0.82,4.93,0,0,0,0,16.42,3.28,0,5.75,142.83,0,4.1,3.28,0,0,7.39,0,2.46,0,0.82,24.63,0,0,4.93,0,0
 36-46,0,0,0,0.81,0.81,0,14.5,0,0,0,13.7,0,1.61,0,0,0,0,0.81,0,0,14.5,3.22,0,4.03,158.72,0,5.64,2.42,0,0,12.89,0,0.81,0,0,27.39,0,0,3.22,0,0.81
 48-58,0,0,0,4.59,0,0,22.38,1.15,0,3.44,17.21,1.15,1.15,0,1.15,2.87,0,0.57,0,0.57,24.67,2.87,0.57,4.59,104.43,0,1.72,2.87,0,0,12.62,0,1.72,0,0,24.1,0,0,1.15,0,0.57
 60-70,0,0,0.98,16.69,0,0,48.09,1.96,1.96,0,23.56,6.87,0.98,0.98,0.98,2.94,0,1.96,0.98,0,21.59,4.91,0,0,114.84,0,0.98,0,0,0,18.65,0,0,0,0,24.54,2.94,0.98,0.98,0,1.96
 72-82,0,0,6.87,55.95,3.93,0,52.03,0,0,1.96,37.3,79.51,0.98,0.98,1.96,6.87,2.94,3.93,2.94,1.96,27.49,7.85,1.96,1.96,108.96,0.98,3.93,2.94,0,0.98,28.47,0,1.96,0,0,9.82,30.43,0.98,7.85,2.94,0
 84-94,0,0,9.56,156.12,5.31,1.06,41.42,1.06,0,1.06,15.93,154,0,1.06,2.12,8.5,4.25,4.25,4.25,0,37.17,7.43,1.06,4.25,57.35,1.06,3.19,3.19,0,0,82.84,0,5.31,0,0,6.37,135.94,1.06,5.31,1.06,1.06
 96-106,0,0,12.02,208.73,1.09,1.09,38.25,0,1.09,0,26.23,382.5,1.09,2.19,6.56,9.84,3.28,5.46,13.11,0,31.69,8.74,1.09,1.09,95.08,0,3.28,5.46,0,0,65.57,0,0,0,0,4.37,187.97,0,5.46,1.09,1.09
108-118,0,0,6.89,216.77,6.89,3.06,28.34,0.77,3.83,1.53,29.11,470.3,0,0.77,1.53,8.43,1.53,2.3,7.66,0.77,16.85,6.89,1.53,1.53,116.43,1.53,5.36,3.83,0,0.77,78.89,0,3.83,0.77,0,3.06,173.11,0,9.96,1.53,0
120,0,0,1.96,125.43,1.96,1.96,21.56,0,1.96,1.96,19.6,258.69,0,0,1.96,5.88,3.92,3.92,9.8,0,11.76,1.96,0,3.92,90.15,1.96,1.96,1.96,0,0,58.79,0,1.96,0,0,1.96,58.79,0,3.92,0,0
