stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,63.09,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,9.44,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,0,1,4,8,0,0,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0,0,0.82,0,0,0,4.1,0,0,22.16,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0,0,0.81,0.81,0,0,0,0,5.64,0,0,33.84,0.81,0,0.81,0,0,0,7.25,0,0.81,0,0
 48-58,0,0,0.57,0,0,0,8.61,0,0,0,3.44,0,0,0,0,0,0,0.57,7.46,0.57,0.57,21.8,0,0,0.57,0,0,0,6.31,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,10.8,0,0,0.98,0.98,0,0,0,0,0,0,0,3.93,0,1.96,18.65,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,6.87,0,0.98,1.96,3.93,0,0,0,0,0,0,0,6.87,1.96,0,15.71,0.98,0,0,0,0,0,0.98,0.98,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,2.12,1.06,2.12,2.12,1.06,0,0,1.06,0,1.06,0,0,8.5,2.12,0,9.56,2.12,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,0,0,0,0,1.09,0,0,1.09,0,3.28,0,1.09,6.56,1.09,0,4.37,0,0,0,2.19,0,0,0,0
108-118,0,0,0,0,2.3,0,3.83,0,0,0,0.77,0,0,0,0,0,0,0,4.6,0,0,5.36,0,0,0,0,0,0,0,0,2.3,0,0
120,0,0,0,0,1.96,1.96,7.84,0,0,0,1.96,0,0,0,0,0,0,0,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0
