stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,192,30,0,0,0
 24-34,0,0.82,0,1.64,2.46,0,0,0,0,0,0,0,0.82,0,0,7.39,22.16,0,0,0,0.82,0,91.12,26.27,4.93,1.64,0
 36-46,0,0,0,4.83,8.86,0,0,4.03,0,0,0,0,1.61,0,0,4.83,20.95,0,0,0,0,0,26.59,0.81,0.81,1.61,0
 48-58,0,0,0,4.02,9.75,0,0.57,1.72,0,0,0,0.57,1.15,0,0,4.59,10.9,0,0,0,0,0,26.97,0,2.87,0.57,0
 60-70,0,0,0.98,2.94,14.72,0,0,3.93,0,0,0,0,0,0,0,3.93,4.91,0,0,0,0.98,0,17.67,0,1.96,0,0
 72-82,0,0,0,6.87,11.78,0,0,12.76,0,0,0.98,0,3.93,0,0,3.93,3.93,0,0,0.98,2.94,0,13.74,0,1.96,0,0.98
 84-94,0,0,2.12,6.37,13.81,0,0,3.19,0,1.06,0,0,4.25,0,0,4.25,4.25,0,0,0,2.12,0,19.12,0,0,0,1.06
 96-106,0,1.09,4.37,9.84,26.23,0,0,20.76,0,0,1.09,1.09,9.84,0,1.09,6.56,18.58,0,0,0,1.09,0,26.23,0,1.09,0,0
108-118,0,1.53,0,5.36,24.51,0.77,0,20.68,0.77,0,0.77,0.77,5.36,0.77,0,11.49,5.36,0,0.77,0,1.53,0,28.34,0,0.77,0,0
120,0,1.96,0,1.96,19.6,1.96,0,7.84,0,0,0,0,5.88,0,0,9.8,3.92,0,0,0,0,0,13.72,0,0,0,0
