stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,173.08,3.15,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,5,0,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,143,0,2,0,0,0,1,1,3,1,68,0,0,0,0,0
 24-34,0,0,2.46,0,8.21,0,0,7.39,0,0,14.78,0,0,0,1.64,5.75,0.82,0,0,3.28,0.82,0,2.46,398.12,0,2.46,1.64,0,0,0,0,3.28,0,116.56,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,24.17,0.81,0,12.89,0,0,0,0.81,0,1.61,0,0.81,6.45,0,0,0,654.2,0.81,3.22,1.61,0,0,0,0,2.42,0,183.69,0,0,0,0,0
 48-58,0,0,0,0.57,3.44,0,0,28.12,1.72,0.57,18.94,0,0,0,0,0.57,0.57,0,0,11.48,0,1.15,1.15,363.79,0.57,0,1.72,0,0.57,0,0,0,0,90.66,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,97.17,0.98,0,34.35,1.96,0,0,0,0,0,0,0,17.67,0,0.98,0,421.07,0,0,1.96,0,0,0.98,0,0.98,0,59.87,0,0.98,0,0,0
 72-82,0,0,1.96,0,6.87,1.96,0,161.97,0.98,0,48.1,0.98,0,0,1.96,0,1.96,0,0,12.76,0.98,0,1.96,271.92,0,0,3.93,0,0.98,0.98,0,0,0,30.43,0,0,0,0,0
 84-94,0,0,2.12,0,19.12,0,0,161.43,2.12,1.06,42.48,1.06,0,0,2.12,3.19,1.06,1.06,0,12.74,0,2.12,1.06,169.93,1.06,0,6.37,0,0,5.31,0,1.06,0,20.18,1.06,1.06,0,1.06,0
 96-106,0,0,2.19,0,9.84,2.19,0,109.28,2.19,0,28.41,4.37,0,0,1.09,1.09,2.19,2.19,0,10.93,0,1.09,0,108.19,0,2.19,3.28,0,1.09,1.09,0,1.09,0,6.56,0,0,3.28,0,0
108-118,0,0,1.53,0,11.49,0,1.53,46.72,9.19,0,22.98,3.06,0,0.77,0.77,3.83,0.77,1.53,0,6.89,0,0.77,0,118.72,0.77,0.77,2.3,0,0,0,0,1.53,0,3.83,2.3,0,3.06,0.77,0
120,0,0,0,0,11.76,0,0,35.28,3.92,0,23.52,5.88,0,0,3.92,1.96,0,0,0,1.96,0,0,0,133.27,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0
