stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,1.61,0,0,0,12.09,0,0,0.81,0,0
 48-58,0.57,0.57,0,0,0,0,1.15,0,2.3,0,0,0,4.02,0,0,0.57,0,0
 60-70,0,1.96,0,0,0,0,0,0,2.94,0,0,0,2.94,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,6.87,0.98,0,1.96,4.91,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,6.37,0,1.06,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,9.84,1.09,0,0,4.37,0,0,0,0,0
108-118,0.77,0,0,0.77,0,0,0,0,6.89,0,0,2.3,3.83,0,0,0,1.53,0.77
120,0,0,0,0,1.96,1.96,0,0,9.8,0,0,1.96,1.96,0,0,0,0,0
