stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,7,1,3,0,0,0,0
 24-34,0,0,0,4.1,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,1.64,0,1.64,4.93,0,0,0,7.39,0.82,0,0,0,0,10.67,0,0.82
 36-46,0,0,0,3.22,0,0,0.81,0,0,0,4.03,0,0,0,0,0.81,0,0.81,0,0.81,4.03,0,0,0,1.61,0,0,0,0.81,0,8.86,0,0
 48-58,0,0,0,4.02,0,0,2.3,0,0.57,0,0.57,7.46,0,0.57,0,0,0.57,0.57,0,0.57,1.72,0,0,0,2.3,0.57,0,0,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,0,2.94,0,0,1.96,2.94,3.93,0,0,0,0,2.94,1.96,0,0,5.89,0.98,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,8.83,0,0,12.76,0,0,6.87,1.96,6.87,0,0,0,0.98,8.83,12.76,0,0,0.98,0,0,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,14.87,0,0,9.56,2.12,0,4.25,2.12,8.5,0,1.06,0,0,44.61,7.43,1.06,0,3.19,0,0,0,5.31,3.19,0,0,0,0,2.12,0,0
 96-106,0,0,0,16.39,0,0,6.56,1.09,0,13.11,3.28,0,1.09,0,1.09,3.28,98.36,25.14,0,0,8.74,0,1.09,0,3.28,4.37,0,0,0,0,0,0,0
108-118,0,0,0.77,5.36,0.77,0.77,6.13,0.77,0.77,9.96,3.06,0.77,0,0.77,0,0,245.11,19.92,0.77,0.77,13.79,0,0.77,0,1.53,0,0,0,0.77,0.77,1.53,0.77,0
120,0,0,0,5.88,0,0,3.92,1.96,0,1.96,3.92,0,0,0,0,1.96,129.35,21.56,0,0,5.88,0,0,0,0,0,0,0,0,1.96,7.84,0,0
