stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,7,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,11,0,1,4,0,0,1,4,31,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,0,0.82,0,0,10.67,0,0,0,0.82,0,1.64,0,0,0,1.64,0,1.64,31.19,0,11.49,3.28,0,0,0,10.67,27.09,0,0,0
 36-46,0,0,0,0,1.61,0,0,1.61,0,0,5.64,0,0,0.81,0,0,1.61,0,0,0,1.61,0,0,41.89,0,8.86,6.45,0,0,0,2.42,16.92,0,0,0
 48-58,0,0,0,0,1.15,0,0,3.44,0,0,15.49,0,0.57,0,0,0.57,0,0,0,2.3,0.57,0,0,22.38,0.57,11.48,5.74,0,0,0.57,1.15,20.08,0,0,0
 60-70,0,0,0,0,0,0,0,8.83,0,0,17.67,0,0,0,0,1.96,1.96,0,0.98,12.76,1.96,0,0,30.43,0.98,11.78,1.96,0,0,0,0.98,13.74,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,4.91,0,0.98,13.74,0.98,0,0,0,0,2.94,0,0,11.78,0.98,0,0,30.43,0.98,24.54,12.76,0,0.98,0,0.98,7.85,0,0,0
 84-94,0,0,1.06,0,1.06,0,0,4.25,0,0,12.74,2.12,2.12,0,0,3.19,3.19,1.06,0,6.37,2.12,1.06,0,21.24,0,14.87,14.87,0,1.06,0,2.12,3.19,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,6.56,0,1.09,12.02,7.65,0,0,0,5.46,10.93,1.09,0,5.46,1.09,0,0,21.86,1.09,18.58,15.3,0,1.09,0,0,3.28,2.19,0,2.19
108-118,0,0,0.77,0,3.06,0,1.53,1.53,0.77,0,9.19,1.53,0,0,0.77,6.13,3.83,0.77,0,8.43,0.77,0,0,16.09,0,28.34,11.49,0,0,0,0.77,3.06,2.3,1.53,0.77
120,0,0,0,0,1.96,0,0,3.92,0,0,5.88,0,0,0,0,9.8,7.84,0,0,0,0,0,0,29.4,0,15.68,13.72,0,0,0,1.96,5.88,3.92,0,0
