stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,pericytes,periderm,taste,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.95,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,43.19,0,0
 72-82,0,1.96,0,1.96,0,0,0,0,1.96,0,0,0.98,0.98,0,80.5,0.98,0
 84-94,0,5.31,0,0,7.43,0,0,0,1.06,0,1.06,2.12,2.12,0,311.18,1.06,0
 96-106,0,19.67,0,4.37,6.56,1.09,1.09,0,2.19,1.09,5.46,1.09,10.93,0,360.64,0,2.19
108-118,0,11.49,0.77,1.53,9.19,0,0,0.77,4.6,0,0.77,6.89,4.6,0.77,413.62,2.3,0
120,0,33.32,0,1.96,13.72,0,0,1.96,7.84,0,0,3.92,3.92,0,437.03,1.96,0
