stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,10,0,0,0,1,2,3,0,0,0
 24-34,0,0,4.1,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,16.42,0.82,0.82,0,0.82,0,4.1,0,0.82,0
 36-46,0,1.61,3.22,0,0,2.42,0,0,0,0,0,0,0,0,0,0,10.47,0,0,0,1.61,0,2.42,0,0,0
 48-58,0,0.57,2.87,0,0,0,0,0,0,0.57,0,0,0.57,2.87,0,2.3,10.33,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,6.87,0,0.98,2.94,0,0,0,0,0,0.98,0,3.93,0,0.98,16.69,0,0,0,0.98,0,2.94,0,0,0
 72-82,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0,1.96,0,1.96,8.83,0,0,0,1.96,0,2.94,0.98,1.96,0.98
 84-94,0,0,7.43,0,0,3.19,0,0,1.06,0,0,0,0,3.19,0,1.06,1.06,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,1.09,2.19,0,0,1.09,1.09,0,0,0,0,0,0,3.28,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,3.06,0.77,0,0,0,0,0,0,0,0,0,2.3,0.77,0,7.66,0,0,0,1.53,0,0,0,3.06,0
120,0,1.96,5.88,1.96,0,5.88,1.96,0,1.96,1.96,1.96,0,0,0,0,1.96,11.76,0,0,0,0,0,0,1.96,1.96,0
