stage,epidermis,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,xanthophores
 14-21,0,0,0,0,0,1,0,0,3,1,0,1,0
 24-34,0.82,0.82,0,0,0.82,0,0,0.82,12.31,0,0.82,4.93,0.82
 36-46,0.81,0.81,0,0.81,0,0,0.81,1.61,5.64,0,0.81,0,0
 48-58,0,0.57,0,1.15,0,0,1.15,0.57,1.15,0,0,1.15,0
 60-70,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0.98,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,0,2.19,0,1.09,0,0,0,0
108-118,2.3,0.77,0,0.77,0,0,0,0,1.53,0,0,0,0
120,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0
