stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,1,0,0,0,0,2,0,0,29,1,0,1,19,0,1,0,1
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,4.93,0,0.82,75.52,0,1.64,0.82,36.12,0,3.28,0,1.64
 36-46,0.81,9.67,0,0,0,4.03,0,1.61,0,0,4.03,0,0,120.04,0,0,0,37.87,0,2.42,0,0
 48-58,0,18.36,0,0,0,8.61,0,0,0.57,0,6.31,1.15,1.15,95.25,0,0,0,30.99,0.57,0.57,0,2.3
 60-70,1.96,47.11,0,0,0,12.76,0,0.98,0,0,15.7,0,0.98,73.61,0.98,0.98,0,10.8,0,1.96,0,1.96
 72-82,0,68.72,0.98,0,0,23.56,0,0,0,0.98,19.63,1.96,2.94,97.18,0,0.98,0,8.83,0,3.93,0,0.98
 84-94,0,39.3,0,0,0,21.24,0,0,2.12,0,10.62,1.06,2.12,53.1,1.06,0,0,4.25,0,1.06,2.12,1.06
 96-106,0,37.16,1.09,0,2.19,10.93,0,0,4.37,0,17.49,1.09,4.37,39.34,1.09,2.19,0,4.37,0,1.09,1.09,0
108-118,1.53,17.62,0,0.77,0.77,8.43,0,0,3.83,0.77,10.72,0,1.53,39.83,0,0.77,0,2.3,0,3.83,0,2.3
120,1.96,17.64,0,0,0,11.76,0,0,0,0,11.76,0,1.96,21.56,0,0,0,1.96,0,3.92,1.96,0
