stage,blastomeres,epidermis,fin_epithelia,heart,immune,ionocyte,mesenchyme,muscle,neural,periderm,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,3.44,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0
 72-82,0,0.98,0,0,0,0,0,0,0.98,12.76,0.98
 84-94,0,0,0,0,0,0,0,0,0,6.37,0
 96-106,0,0,1.09,1.09,1.09,1.09,0,0,1.09,18.58,0
108-118,0,1.53,0.77,0,0,0,0.77,0,0,10.72,0
120,0,1.96,0,0,1.96,0,0,0,0,9.8,0
