stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,3.15,47.2,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,9.44,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,1,0,174,142,1,0,0,0,0,1,7,0,0,0,1,0,0,83,0,0,38,58,0,0,3,0,1,3,0,2,3,0,0,69,0,0
 24-34,0,0.82,60.74,18.88,2.46,0,0,3.28,0,0,12.31,0,0,0,31.19,0,0,55,0.82,0,14.78,22.16,2.46,0,0,0,0,0,0,2.46,4.1,0,0,229.02,0,0
 36-46,0,0,15.31,2.42,3.22,0,0,2.42,0,0,9.67,0,0,0,30.62,0,0,37.87,0.81,4.03,10.47,25.78,0,0.81,0,0.81,0,0,0,0,3.22,0,0,170.8,0,0
 48-58,0,0,6.89,1.15,4.02,0.57,0.57,0,0,0,9.18,0,0,0,24.67,0.57,0.57,33.85,0,2.3,2.3,17.21,0,2.3,0,0,0,0,0,0,1.15,0,0,142.3,0,0.57
 60-70,0,0,6.87,0.98,5.89,0,0,0,0.98,0,4.91,0,0,1.96,19.63,0,0.98,31.41,0,2.94,0,7.85,0,0.98,0,0,0.98,0,0.98,0,3.93,0,0,150.17,0.98,0
 72-82,0,0,7.85,0,1.96,0,0,1.96,2.94,1.96,1.96,0,0.98,1.96,34.36,0,0,32.39,0,5.89,0.98,9.82,0,0.98,0,0.98,0.98,0,0,0,0.98,0,2.94,274.87,2.94,0
 84-94,0,0,10.62,1.06,5.31,0,1.06,0,0,0,6.37,1.06,0,4.25,26.55,0,0,22.3,0,3.19,0,6.37,1.06,1.06,0,3.19,0,0,0,0,0,0,1.06,263.39,2.12,0
 96-106,0,0,7.65,1.09,2.19,0,1.09,1.09,1.09,2.19,2.19,1.09,0,8.74,27.32,0,0,12.02,0,0,1.09,15.3,0,1.09,0,0,0,0,1.09,0,2.19,0,2.19,272.12,1.09,0
108-118,0,0,11.49,0,2.3,0,1.53,1.53,0.77,0.77,3.83,0.77,0,22.21,17.62,0,0,12.26,0,2.3,1.53,9.96,0,0,0,0,0,0,1.53,0,0,0.77,0,210.64,2.3,0
120,0,0,3.92,0,0,0,0,1.96,1.96,0,3.92,0,0,11.76,11.76,0,0,7.84,0,0,3.92,5.88,0,1.96,0,3.92,3.92,0,3.92,0,0,0,0,197.94,3.92,0
