stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,2.63,0,0,0,0,0,68.35,2.63,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,50.35,0,0,31.47,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,7,0,0,1,0,0,1,7,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,4.1,0.82,41.86,0,0,0,0,0,0,11.49,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,2.42,0,17.72,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,5.16,0,1.15,0,1.72,1.15,16.64,0,0,0,0,0,0,3.44,0,0,0.57
 60-70,0,0,0,0.98,8.83,0,0,0,0.98,0,21.59,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,3.93,0,3.93,0,0.98,0.98,10.8,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,6.37,0,2.12,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,0,5.46,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0.77,0,5.36,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,1.96,3.92,0,3.92,0,0,0,0,0,0,0,0,0,0
