stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,otic,spinal_cord,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,2,0,0,0,0,1,0,1,1,1,0,1,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,1.64,1.64,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0.81,2.42,0,0,0
 48-58,0,0,0,0,2.87,0,0,0,0.57,0,5.16,0.57,0,0
 60-70,0,0,0,0,9.82,0,0,0,0.98,0.98,13.74,0.98,0.98,0
 72-82,0,0,0,0,21.6,0,0,0,1.96,0,28.47,0,1.96,0
 84-94,0,0,0,0,9.56,0,0,0,3.19,1.06,7.43,2.12,1.06,0
 96-106,0,0,1.09,0,4.37,0,1.09,2.19,0,0,20.76,2.19,2.19,1.09
108-118,0,0,0,0,3.06,0.77,0,0,1.53,0,12.26,1.53,0,0
120,0,0,0,0,5.88,0,0,0,0,0,7.84,0,0,0
