stage,axial,blastomeres,endoderm,eye,gut,heart,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,vasculature
  3-4,26.36,843.39,0,0,0,0,0,0,0,0,0,65.89,0,0
  5-6,36.78,367.78,0,0,0,0,0,0,12.26,0,0,6.13,0,0
  7-9,0,0,7.89,2.63,0,0,0,0,57.83,2.63,13.14,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,3.15,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
