stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,5.26,0,0,34.17,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,168.24,10.51,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,9.44,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,166.79,3.15,0,0,50.35,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,10,1,4,0,0,0,1,1,1,0,0,0,0,0,5,0,4,62,2,0,1,3,0,0,7,0,10,12,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,10.67,0,0,1.64,3.28,0,0,0,0.82,0.82,0,0,11.49,0,0.82,99.32,0.82,2.46,1.64,0,5.75,0,0,0.82,3.28,17.24,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0,19.34,0.81,0,0,2.42,0,0,0,0,0,0,0,8.86,0,4.03,78.15,1.61,0,0.81,0,1.61,0,0,0,0,16.92,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,34.43,0.57,0,1.15,10.9,0,0,0,0,0,0.57,1.15,13.2,1.72,2.87,74.02,0,1.15,0,0,2.3,0,0,0,0,16.07,0,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0,51.04,0,0,0.98,9.82,0,0,0,0.98,0.98,0,0.98,22.58,0,1.96,62.82,0.98,0.98,0,0,2.94,0,0,0,0,7.85,0.98,0.98,0,0,0
 72-82,0,0,0,0,1.96,1.96,37.3,0,0,0,12.76,0.98,0,0,0,0,0,0,18.65,0,2.94,53.01,0,0,0,0,4.91,0,0,0.98,0,5.89,0,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,1.06,33.99,0,0,1.06,5.31,0,0,0,2.12,3.19,1.06,1.06,19.12,0,0,29.74,1.06,0,0,0,3.19,0,0,0,0,2.12,1.06,1.06,4.25,0,0
 96-106,0,0,0,0,0,2.19,15.3,0,0,0,5.46,1.09,0,1.09,1.09,3.28,1.09,1.09,15.3,0,2.19,21.86,0,2.19,0,0,6.56,0,0,0,0,0,1.09,0,3.28,1.09,0
108-118,0,0,0.77,0,5.36,0,15.32,0,0.77,0,3.83,3.06,0,0,2.3,0.77,0.77,0.77,9.96,0,1.53,32.94,0,0.77,0,0,4.6,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,1.96,1.96,11.76,0,0,0,3.92,1.96,0,0,1.96,0,0,1.96,5.88,0,1.96,25.48,1.96,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0
