stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3,4,59,11,18,0,0,0,4,2,1,0,0,3,0,0,0,1,13,0,0,12,250,4,4,4,1,0,4,2,16,4,3,21,82,0,0,1,0,0
 24-34,0,3.28,0.82,17.24,0.82,59.1,0,0,0,9.03,0.82,0.82,2.46,0.82,4.1,0,3.28,0.82,1.64,35.3,2.46,0.82,18.06,648.48,2.46,12.31,4.93,0,0,4.93,0,0,0.82,0,8.21,124.77,0,0,9.03,0,1.64
 36-46,0,0,0,5.64,0.81,70.09,0,0,0.81,16.11,0.81,0.81,0,1.61,0,0,3.22,0,0.81,29,0.81,0,2.42,274.73,0.81,4.83,0,0,0,8.06,0,0,0.81,0,0,65.26,0,0,0.81,0,0
 48-58,0,0.57,0.57,6.89,0.57,122.22,0,0.57,0.57,23.53,0,0,1.15,1.72,0.57,0.57,1.72,0.57,1.15,52.79,0,1.72,3.44,270.26,0,3.44,5.74,0,0.57,4.02,0,0,0,0,0,57.95,0,0,4.59,0,1.72
 60-70,0.98,1.96,0,13.74,0,209.06,0,1.96,2.94,49.08,0.98,0.98,1.96,0.98,0.98,0,2.94,0.98,0,88.34,0.98,2.94,8.83,297.4,1.96,0.98,0.98,0,0,11.78,0,0,0,0,0,39.26,0,1.96,3.93,0.98,1.96
 72-82,0,1.96,0,9.82,5.89,91.29,0.98,0.98,1.96,43.19,4.91,0,1.96,6.87,1.96,4.91,4.91,0.98,0,82.46,0.98,2.94,9.82,180.63,0,2.94,4.91,0,0,9.82,0,0,0,0,0,10.8,5.89,1.96,6.87,0.98,3.93
 84-94,0,1.06,0,19.12,4.25,55.23,0,0,1.06,20.18,4.25,1.06,1.06,7.43,4.25,2.12,4.25,0,0,49.92,0,4.25,7.43,86.03,1.06,5.31,2.12,0,1.06,13.81,0,0,0,0,0,3.19,3.19,0,5.31,2.12,0
 96-106,0,1.09,0,18.58,4.37,26.23,0,1.09,3.28,20.76,13.11,0,1.09,5.46,4.37,4.37,0,0,1.09,42.62,0,3.28,3.28,62.29,2.19,8.74,6.56,0,0,12.02,0,0,0,0,0,1.09,4.37,4.37,6.56,1.09,1.09
108-118,0,0.77,0,13.02,4.6,41.36,0.77,4.6,2.3,17.62,4.6,0,0,5.36,4.6,0,0,2.3,0,39.06,0.77,1.53,6.89,84.26,2.3,2.3,3.83,0,0.77,9.96,0,0,0,0,0,0.77,2.3,0.77,3.83,1.53,1.53
120,0,0,0,19.6,1.96,27.44,1.96,1.96,1.96,25.48,1.96,0,0,5.88,1.96,0,1.96,0,0,37.24,1.96,0,13.72,66.63,1.96,0,0,0,0,19.6,0,0,3.92,0,0,0,0,1.96,1.96,1.96,1.96
