stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,3,0,0,0
 24-34,0,0.82,0.82,0.82,0,92.76,0,0.82,0,0,0,0,0.82,0,0,61.56,0,0,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,0,45.12,0,0,0.81,0,0,0,3.22,0,0,29.81,0,0,0.81,0,0,9.67,0,0,0
 48-58,0,0,0,0.57,0,44.76,0.57,0,1.15,0,0,0,5.74,0,0,58.53,0,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,0,49.08,0,1.96,0.98,0,0,0,10.8,0,0,149.19,0,0,0,0,0,6.87,0,1.96,0.98
 72-82,0,0,0,0.98,0.98,56.94,0,1.96,0,0,0,0,4.91,0,1.96,212.04,0,0,0,0,0,7.85,0,0,0
 84-94,0,0,0,2.12,0,47.79,0,0,8.5,0,1.06,0,4.25,1.06,1.06,86.03,1.06,0,0,1.06,0,2.12,0,2.12,0
 96-106,0,0,0,1.09,0,38.25,0,0,3.28,0,0,0,5.46,1.09,0,96.17,0,0,1.09,0,0,1.09,0,1.09,0
108-118,0,0,0,3.06,0,28.34,0,0,3.83,0.77,0,0.77,5.36,0,0,112.6,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,25.48,0,0,3.92,0,0,0,5.88,0,0,107.79,0,0,0,0,0,0,0,0,0
