stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,60.46,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,62.94,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,10,0,1,0,1,0,1,3,0,0,2,2,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,0.82,22.16,0,0,0.82,0,0,0,0,1.64,0,1.64,8.21,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,9.67,0,0,0,0,0.81,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,0,2.3,0,0.57,1.72,0,0,0.57,0,0.57,0.57,8.03,0.57,0,0,0,0,0,0,0,0.57,0,2.87,0,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,0,0,2.94,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,3.93,0,0,0,0,0,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,4.25,0,0,0,0,0,0,1.06,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,2.19,0,1.09,2.19,0,2.19,2.19,1.09,0,1.09,6.56,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0,0.77,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,1.96,11.76,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96,0
