stage,endoderm,eye,glial,gut,mesenchyme,mural_cell,neural,notochord,otic,paraxial_mesoderm,pericytes,pgc,somites,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,18.88,3.15,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0
 24-34,0,0.82,0,0,0.82,0,7.39,0,0.82,0,0,0,0,0.82,1.64
 36-46,0,0.81,0,0.81,0.81,0.81,1.61,0,0,0,0,0,0,0.81,0.81
 48-58,0,1.15,1.15,0,0,0,1.72,0,0,0,0,0,0,1.15,0
 60-70,0,2.94,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,1.96,0,0.98,2.94,0,1.96,0,0,0,0,0,0,0,0.98
 84-94,0,2.12,0,0,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,2.3,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
