stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,1,0
 24-34,0,1.64,0,0.82,2.46,0,0.82,0,0,13.13,0,7.39,17.24,0,0,0,0,0,0.82,2.46,0,0,4.1,0
 36-46,0,1.61,0,7.25,0.81,0.81,5.64,0,0,8.06,0,6.45,27.39,0.81,0,0,0,0,0,4.03,0,0,0,0
 48-58,0,0.57,0,17.21,1.15,1.15,28.12,0,0,13.2,0.57,2.87,51.64,0,0.57,0.57,0,0,0,10.33,0,0,1.15,0
 60-70,0,0.98,0,64.78,1.96,0.98,36.32,0,0,24.54,0,3.93,123.67,0,0,0.98,0,0,0,5.89,0,0,0,0
 72-82,0,1.96,0,33.38,0,0,22.58,0,0,13.74,0,0.98,92.28,0,0,0,0,0,0,7.85,0,0,6.87,0
 84-94,0,2.12,0,39.3,1.06,0,26.55,1.06,0,13.81,1.06,4.25,60.54,0,1.06,2.12,0,1.06,0,7.43,0,0,4.25,1.06
 96-106,0,2.19,1.09,22.95,0,1.09,12.02,0,1.09,17.49,0,3.28,53.55,0,0,1.09,0,0,0,2.19,0,0,2.19,0
108-118,0,2.3,0,13.02,0.77,0,16.85,0.77,0.77,13.02,0,4.6,47.49,0,2.3,0.77,0,0,0,0.77,0.77,0,5.36,0
120,0,0,0,9.8,0,0,13.72,0,3.92,9.8,0,1.96,27.44,0,0,1.96,0,0,0,1.96,0,1.96,1.96,3.92
