stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,619.36,10423.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790.68,0,0,0,0,0,0,0,0,0,0
  5-6,747.82,7582.36,24.52,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,441.33,42.91,0,0,116.46,0,300.35,0,0,0,0,0,0,0,0,0,0
  7-9,115.66,307.56,615.12,0,5.26,509.97,0,0,0,0,186.64,0,0,0,0,0,0,0,0,0,0,11009.05,94.63,0,0,1001.54,0,57.83,26.29,0,0,0,0,0,0,0,0,0
 10-12,9.44,213.99,456.31,0,18.88,166.79,0,0,0,0,31.47,0,0,0,0,0,3.15,0,0,0,3.15,7433.14,66.09,0,0,355.61,0,22.03,3.15,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,25,685,11,8,1,0,1,1,0,2,0,5,0,3,0,158,0,0,179,931,4,1,5,3,0,4,0,13,1,7,248,0,0,0,0,0
 24-34,0,0,18.88,164.99,0.82,3.28,1.64,0.82,0,0.82,0.82,0,0,0,0,16.42,0.82,73.88,1.64,0,13.13,279.91,0,0,2.46,0.82,0,15.6,0,0,1.64,0.82,75.52,0,0,3.28,0,0.82
 36-46,0,0,0,32.23,0,6.45,0,0.81,0,0,0,0,0,0,0,3.22,0,41.09,0,0,7.25,218.34,0,0,1.61,0,0,16.11,0,0,0.81,0,29,0,0,3.22,0,0
 48-58,0,0,0,24.67,0,40.17,0,1.15,0.57,0,0,1.15,0,0,0,4.59,0,76.89,0,0,4.59,169.85,0,0,1.72,0,0,5.74,0,0,0,0,14.35,0,0,0.57,0,1.15
 60-70,0,0,0,10.8,0,180.6,0,0,2.94,0,0,0,0,0,0,1.96,0,54.97,0,0,0,99.13,0,0,0,0,0,4.91,0,0,0.98,0,4.91,0,0,0.98,0,0
 72-82,0,0,0,5.89,0,218.91,0,0,6.87,0.98,0,0,0,0,0,6.87,0.98,72.64,0,0,2.94,105.04,0,0,0,0,0,1.96,0,0,0,0,4.91,0,0,1.96,1.96,0.98
 84-94,0,0,0,15.93,0,117.89,0,1.06,12.74,0,0,0,1.06,0,1.06,4.25,0,47.79,0,0,1.06,67.97,0,0,0,0,0,4.25,0,0,2.12,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,0,13.11,1.09,143.16,0,0,3.28,3.28,0,0,5.46,2.19,0,7.65,0,29.51,0,1.09,2.19,59.01,0,0,0,0,0,1.09,0,0,1.09,0,2.19,0,1.09,3.28,2.19,0
108-118,0,0,0,5.36,0.77,103.41,0,1.53,4.6,2.3,0,0,2.3,0.77,0,8.43,0,34.47,0,0,3.83,62.81,1.53,2.3,0,0,0.77,2.3,0,0,0.77,0,2.3,0,0.77,0.77,0,0
120,1.96,0,0,7.84,0,105.83,0,0,3.92,5.88,0,0,5.88,0,0,1.96,0,15.68,0,0,0,43.12,1.96,0,1.96,0,0,1.96,0,0,0,0,3.92,0,0,3.92,0,0
