stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,5.26,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,5,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,54,0,0,1,0,0,0,2,0,5,13,0,0,1,0
 24-34,0,0,1.64,1.64,0,8.21,0,2.46,0,0,0,0,0,0,0,5.75,0,0,3.28,160.07,1.64,0.82,0,0,0,0.82,0,0,2.46,21.34,0,0,3.28,0.82
 36-46,0,0,0,2.42,0,29,0,5.64,0,0,0,0,0,0,0,8.06,0,1.61,5.64,238.48,0,0.81,0.81,0,0,1.61,0,0,0,37.06,0,0,3.22,0
 48-58,0,0,0,0,0,62.54,0,10.33,0,0,0,0,0,0,0,16.07,0,3.44,2.3,161.24,0,0.57,0.57,0,0.57,0,0,0,0,24.1,0,0,0,0
 60-70,0,0,0,0.98,0,64.78,0,14.72,0,0,0,0,0,0,0,10.8,0,0,2.94,114.84,0.98,0,0,0,0,0,0,0,0,18.65,0,0,0,0
 72-82,0,0,0,0.98,0.98,51.05,0.98,5.89,0,0.98,0,0,0,0,0.98,20.61,1.96,0,5.89,111.91,0,0.98,0,0,0,0.98,0,0,0,21.6,0.98,0,0.98,0
 84-94,0,0,0,0,2.12,44.61,0,8.5,0,0,1.06,0,1.06,0,0,9.56,0,0,3.19,83.9,0,0,1.06,0,0,1.06,0,0,0,13.81,0,1.06,0,0
 96-106,0,0,0,2.19,0,17.49,1.09,5.46,0,1.09,3.28,0,0,0,0,9.84,0,1.09,0,67.76,0,1.09,1.09,0,0,0,0,0,0,6.56,0,0,1.09,0
108-118,0,0,0,0,0,13.02,1.53,1.53,0,0,1.53,0,0,1.53,0,4.6,0,0,3.06,65.11,0,0.77,0.77,0,0,1.53,0,0,0,3.83,0,0,0,0.77
120,0,0,0,0,0,9.8,0,5.88,0,0,1.96,0,0,0,0,3.92,0,1.96,1.96,45.08,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0
