stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,36,1,0,0,2,0,1,2,1,0,0,14,0,0,1,0,0
 24-34,0,0,0,0,1.64,0,10.67,0,0.82,0.82,0,0,0,0,0,0,0,0,0,8.21,0,0,5.75,94.4,0.82,0,0.82,0,0,4.1,0,0,0.82,0.82,20.52,0,0,1.64,0,0
 36-46,0,0,0,0.81,1.61,0,20.95,0,0,2.42,0,0,0,0,0,0,0,0,0,4.83,0,0.81,2.42,73.32,0,0.81,0.81,0,0,2.42,0,0.81,0,0,18.53,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,18.94,0.57,1.72,5.16,0,0,0.57,0,0,0,0,0,0,10.33,0,0,0.57,44.76,0.57,0,0,0,0,0.57,0,0,0,0,8.03,0,0,1.15,0,0
 60-70,0,0,0,0,2.94,0,20.61,0,0,5.89,0.98,0,0,0,0,0.98,0.98,0,0,9.82,0.98,0.98,0.98,54.97,0,0,0,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,17.67,0,0,5.89,0,0,0,0.98,0,0,0,0,0,20.61,0,0,0.98,36.32,0.98,0.98,0.98,0,0.98,2.94,0,0,0,0,2.94,0,0.98,0,0.98,0
 84-94,0,0,0,0,3.19,0,13.81,1.06,1.06,3.19,1.06,0,0,2.12,0,0,0,1.06,0,6.37,0,0,2.12,26.55,0,0,2.12,0,0,2.12,0,1.06,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,9.84,0,0,5.46,1.09,0,0,3.28,1.09,0,0,0,0,5.46,0,0,0,14.21,0,1.09,1.09,0,0,3.28,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,8.43,0,0,2.3,0.77,0,0,0,0,0,0,0,0,9.96,0,0.77,3.06,22.98,0,1.53,0.77,0,0,3.06,0,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,3.92,1.96,11.76,3.92,0,11.76,0,0,0,5.88,1.96,0,1.96,1.96,0,13.72,0,1.96,0,45.08,1.96,0,5.88,0,0,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,1.96
