stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,1,0,4,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,3.28,0,14.78,0,0,0,0.82,0,0,6.57,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0.81,0.81,31.42,0,2.42,0,0,0,0,9.67,0
 48-58,0,0,0,8.03,0,2.3,0,0,1.15,0,1.72,0,22.95,0,2.3,0,0,0,0,11.48,0
 60-70,0,0,0,8.83,1.96,4.91,0,0,0.98,0,4.91,0,15.7,0,8.83,0,0,0,0.98,7.85,0
 72-82,0,0,0,7.85,1.96,18.65,0,0,2.94,0,5.89,0.98,11.78,0,16.69,0,0,0,0,3.93,0
 84-94,0,0,0,3.19,0,6.37,0,0,2.12,0,5.31,0,8.5,0,29.74,0,0,0,0,3.19,0
 96-106,0,1.09,0,0,0,14.21,0,0,14.21,0,3.28,0,8.74,1.09,24.04,0,0,0,0,1.09,1.09
108-118,0,0,0.77,3.06,0.77,9.96,0,0.77,6.89,0.77,0.77,0,9.19,0,26.81,0,0,0,0,0.77,0
120,0,0,0,3.92,0,7.84,1.96,0,7.84,0,3.92,0,3.92,0,19.6,0,0,0,0,0,0
