stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1
 24-34,0,0,0.82,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,0,1.15,0,0.57,0.57,0,1.15,2.3,0,0,0,0,0.57
 60-70,0,0,1.96,0,0.98,0,0,0.98,3.93,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0.98,0.98,0,2.94,0,0,0,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0.77,0.77,0,1.53,0,0,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0
