stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,29,0,0,0,0
 24-34,0,0.82,0,0,30.37,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,42.68,0,0,0,0,0.82,0,0,0,155.14,0,0,0.82,0.82
 36-46,0,0,0.81,0,57.2,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,1.61,77.34,0.81,0,0,0,0.81,0,0,0,194.97,0,0,0,0
 48-58,0,0,0,1.15,99.84,0,0,0.57,19.51,0,0.57,0,0,0.57,0,0,0.57,1.72,0,0,0.57,72.87,0,0,0,0,0.57,0,0.57,0,85.5,0,0,0,0.57
 60-70,0,0,0,0.98,121.71,0.98,0,0,17.67,0,0,0.98,0,3.93,0,0,0,2.94,0,0,0,119.75,0,0,0,0,1.96,0,0,0,22.58,0,0,0,0.98
 72-82,0,0,0,0.98,91.29,0,0,0,14.72,0,0,0,0,3.93,0,0,0,8.83,0.98,0.98,0,53.01,0,0,0,0,1.96,0,0,0,4.91,0,0,0,0
 84-94,0,0,1.06,3.19,187.98,2.12,2.12,1.06,4.25,3.19,0,0,1.06,8.5,0,1.06,0,4.25,1.06,0,0,40.36,0,0,0,0,4.25,0,1.06,0,5.31,1.06,0,0,1.06
 96-106,0,0,1.09,0,172.67,0,1.09,0,4.37,0,1.09,0,1.09,5.46,2.19,1.09,0,3.28,0,0,1.09,32.79,1.09,2.19,0,3.28,2.19,0,0,0,1.09,1.09,0,0,0
108-118,0,0,2.3,5.36,188.43,0,0,0.77,6.89,0.77,0,0,0,13.02,0,0.77,0,1.53,0,0,1.53,29.87,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,5.88,72.51,0,0,0,1.96,0,0,1.96,0,5.88,0,0,0,3.92,0,0,0,33.32,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
