stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,134,9,0,1,0,1,0,1,3,0,0,0,5,0,0,0,0,4,0,0,1,7,1,0,1,0,0,44,1,11,15,7,0,0,0,0,0
 24-34,0,0.82,185.51,5.75,0,0,0,13.95,0.82,0.82,2.46,0.82,0,0.82,6.57,0,0,0,0,10.67,2.46,0.82,4.1,27.91,2.46,1.64,0.82,0,0,183.87,0,1.64,0,7.39,0,0,1.64,0,1.64
 36-46,0,0,91.04,0,0,3.22,0,20.14,0,1.61,0,0,4.03,0,0.81,2.42,0,0,0,17.72,1.61,1.61,3.22,45.12,4.83,0,0,0,0,161.13,0,0,0,12.09,0,0,0,0,4.83
 48-58,0,0,92.96,1.15,0,12.05,0.57,27.54,0.57,1.15,0.57,0,2.3,0,0.57,1.72,0,0.57,0.57,20.08,1.15,3.44,4.02,67.71,0,0,0,0,0,96.4,0,0,0,9.75,0,1.15,1.15,0.57,6.89
 60-70,0,0,67.73,0.98,0,12.76,0,25.52,0.98,7.85,0.98,0,5.89,0,0.98,3.93,0,0,0,32.39,0.98,8.83,0,139.38,0.98,0,0.98,0,2.94,78.52,0,0,0,8.83,0,10.8,2.94,6.87,4.91
 72-82,0,0,94.24,1.96,0,42.21,0,23.56,2.94,16.69,2.94,0,6.87,1.96,4.91,5.89,0,1.96,0,46.14,0.98,13.74,2.94,155.1,0,0.98,0,0,3.93,97.18,0,0,0,8.83,1.96,22.58,2.94,33.38,3.93
 84-94,0,0,165.68,3.19,0,23.36,0,41.42,2.12,8.5,2.12,0,3.19,1.06,4.25,11.68,0,0,0,25.49,2.12,11.68,1.06,69.03,1.06,1.06,0,0,0,255.95,0,0,0,4.25,1.06,15.93,2.12,20.18,9.56
 96-106,0,1.09,218.57,5.46,1.09,29.51,0,53.55,7.65,16.39,12.02,0,7.65,4.37,6.56,15.3,1.09,0,0,64.48,2.19,12.02,3.28,73.22,0,4.37,1.09,0,5.46,241.52,0,1.09,0,4.37,1.09,22.95,5.46,40.44,13.11
108-118,0,0,190.72,3.83,2.3,20.68,1.53,42.13,4.6,11.49,9.19,0,6.89,5.36,9.19,49.79,0,1.53,1.53,55.15,3.06,14.55,0.77,93.45,0.77,0.77,0,0,4.6,161.62,0,0,0,2.3,6.13,9.19,3.06,23.74,14.55
120,0,0,145.02,7.84,0,17.64,3.92,29.4,3.92,1.96,3.92,0,1.96,1.96,0,13.72,1.96,0,0,31.36,3.92,13.72,3.92,105.83,0,0,0,0,1.96,111.71,0,0,0,3.92,1.96,9.8,0,25.48,5.88
