stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,23,2,3,0,0,0,2,0,0,0,0,3,0,9,0,0,0,0,2,0
 24-34,0,0,11.49,1.64,0,0.82,0,0,2.46,0,6.57,0,1.64,10.67,0,18.06,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0.81,0,0.81,0,3.22,0,2.42,1.61,0.81,7.25,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,4.02,0,4.02,0,0.57,0.57,1.72,12.05,0,0,0.57,0,0,0
 60-70,0,0,0.98,0.98,0,0,0.98,0,14.72,0,0.98,0.98,0,2.94,0,21.59,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,26.5,0,2.94,0,1.96,7.85,0,51.05,0,0,1.96,0,0.98,0
 84-94,0,0,1.06,0,0,0,1.06,0,31.86,1.06,3.19,0,0,3.19,3.19,79.65,0,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,0,0,1.09,61.2,0,2.19,1.09,0,2.19,4.37,87.43,0,2.19,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,40.6,0,0.77,0,0,3.06,2.3,60.51,0,3.06,0,0.77,0.77,0.77
120,0,0,3.92,0,0,0,0,0,31.36,0,0,1.96,0,1.96,1.96,52.91,0,0,0,0,0,0
