stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,44.69,2.63,0,10.51,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,31.47,0,0,22.03,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,2,0,4,1,0,0,1,5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,1.61,0,0,0,0,1.61,0,2.42,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0.57,0,0.57,0,2.3,0.57,4.59,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,2.94,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,5.89,0.98,1.96,0,0,0,0,0.98,1.96,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,1.09,0,1.09,2.19,2.19,2.19,1.09,4.37,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,1.53,0,3.83,0,1.53,0,0,0,0,0,0.77,0,0.77
120,0,0,0,5.88,1.96,0,0,0,0,0,3.92,1.96,0,1.96,0,0,0,0,0,1.96,0,0
