stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,3,32,8,0,18,0,0,40,1,0,0,0,0,0,0,4,0,27,0,0,14,205,8,7,12,14,0,0,1,52,36,4,16,157,0,0,0,0,0
 24-34,0,0.82,20.52,0,0,23.8,2.46,0.82,53.36,0,0.82,0,0,0,0,1.64,0.82,1.64,37.76,0,0,18.06,188.8,4.1,43.51,7.39,0,0,0,0.82,0,26.27,0,12.31,140.37,0,0,0.82,0,0.82
 36-46,0,0,7.25,0,0,28.2,0.81,0.81,22.56,0,0,0.81,0,0,0,1.61,0,1.61,38.67,0,0,11.28,147.44,2.42,26.59,3.22,0,0,2.42,0,0,16.92,0,0,80.57,0,0,0,0,1.61
 48-58,0,0,5.74,0,0,25.82,0,1.72,33.28,0,0,0,0,0,0,2.3,0,0,41.89,0,1.72,10.33,53.94,1.15,17.21,4.02,0,0,0.57,0,0,6.31,0,0.57,55.09,0,0.57,0.57,0,2.87
 60-70,0,0,9.82,0,0,43.19,1.96,3.93,47.11,0.98,0,0.98,0,0,0,7.85,0,0.98,51.04,0,5.89,6.87,64.78,1.96,25.52,6.87,0,0,0.98,0,0,1.96,0,0,45.15,0,0.98,0,0.98,0.98
 72-82,1.96,0,10.8,1.96,0,52.03,0.98,1.96,44.17,0,0,0.98,0.98,0.98,0,8.83,0,0,54.97,0,0,8.83,49.08,0.98,36.32,8.83,0,1.96,0,0,0,3.93,0,0,23.56,0,3.93,0,0.98,0.98
 84-94,0,1.06,13.81,4.25,0,59.47,3.19,5.31,31.86,0,0,0,0,0,1.06,6.37,0,2.12,42.48,1.06,3.19,9.56,25.49,1.06,44.61,19.12,0,3.19,2.12,0,0,10.62,1.06,0,19.12,1.06,3.19,1.06,1.06,3.19
 96-106,1.09,0,8.74,3.28,0,25.14,4.37,1.09,32.79,1.09,0,0,0,1.09,1.09,16.39,0,5.46,30.6,0,1.09,1.09,22.95,1.09,51.36,32.79,0,2.19,1.09,0,0,6.56,1.09,0,16.39,0,1.09,0,3.28,2.19
108-118,0,3.83,4.6,0.77,0.77,27.57,0.77,1.53,14.55,1.53,0,0,0,0,1.53,12.26,0.77,3.06,32.17,0,2.3,1.53,35.23,0,29.11,17.62,0,1.53,1.53,0,0,12.26,0,0,11.49,1.53,0.77,1.53,2.3,3.06
120,0,1.96,7.84,0,0,17.64,3.92,0,25.48,1.96,0,0,0,0,0,5.88,0,0,11.76,0,3.92,3.92,11.76,1.96,23.52,7.84,0,1.96,0,0,0,9.8,0,0,5.88,0,3.92,1.96,1.96,1.96
