stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,126.18,0,0,0,44.69,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,34.62,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,5,0,6,0,0,0,2,0,1,0,0,2,0,0,0,0,52,0,27,89,5,0,1,4,0,5,0,14,2,1,17,57,0,0,2,0,0
 24-34,0,0,0,0,4.1,3.28,0,18.88,0,1.64,6.57,1.64,1.64,0,6.57,0,0.82,0,0,0,0,188.8,0.82,48.43,121.49,20.52,0.82,1.64,0,0,5.75,0,0,0.82,0.82,4.93,53.36,0,0,33.66,0,0
 36-46,0,0,0,0,4.83,0.81,0,40.28,0.81,2.42,29,10.47,0,0.81,5.64,0.81,0,0,0,0,1.61,341.6,4.03,70.09,115.21,48.34,0.81,1.61,0,0.81,8.86,0,0,3.22,1.61,0,39.48,0,1.61,21.75,0,1.61
 48-58,0,0,0,0,2.3,0,0,41.89,1.15,3.44,28.12,11.48,0,0.57,6.89,0,0,0,0.57,0.57,1.15,377.56,14.35,43.04,65.99,6.89,1.15,4.02,0,0.57,1.15,0,0,0,0,0,22.38,0,1.15,22.38,0.57,2.3
 60-70,0,0,0,0,4.91,0.98,0,34.35,0,2.94,28.46,16.69,0.98,0,5.89,2.94,0,0.98,0,0.98,0,637.01,14.72,31.41,47.11,5.89,0,3.93,0,0.98,1.96,0,0,0,0,0,11.78,0,4.91,12.76,1.96,8.83
 72-82,0,0,0.98,0,7.85,6.87,0,41.23,0,0,53.99,29.45,0.98,0,6.87,0.98,0,5.89,0.98,1.96,0,1047.43,24.54,48.1,82.46,7.85,0.98,3.93,0,3.93,3.93,0,0,0.98,0,0,19.63,0,17.67,31.41,17.67,21.6
 84-94,0,0,0,0,7.43,3.19,0,67.97,0,3.19,37.17,19.12,3.19,0,8.5,0,1.06,22.3,1.06,0,0,869.81,30.8,24.43,35.05,6.37,2.12,8.5,0,4.25,7.43,0,0,2.12,0,0,6.37,2.12,13.81,39.3,16.99,18.05
 96-106,0,0,0,0,12.02,2.19,0,43.71,0,3.28,22.95,18.58,3.28,0,16.39,7.65,0,25.14,0,2.19,0,661.17,22.95,31.69,55.74,6.56,1.09,16.39,0,10.93,5.46,0,0,1.09,0,0,7.65,1.09,20.76,46.99,15.3,19.67
108-118,0,0,0,0,22.98,7.66,1.53,22.98,0,3.83,32.17,22.21,3.06,0,4.6,3.06,3.06,72,3.06,0.77,0,618.13,9.96,28.34,58.98,6.13,2.3,9.96,0,4.6,9.19,0,0,1.53,0,0,9.19,1.53,9.19,54.38,13.79,39.06
120,0,0,0,0,27.44,13.72,0,31.36,1.96,1.96,25.48,17.64,1.96,0,9.8,5.88,0,39.2,0,0,0,574.22,7.84,13.72,54.87,5.88,0,9.8,0,9.8,19.6,0,0,1.96,0,0,3.92,1.96,9.8,48.99,17.64,7.84
