stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,1,19,43,1,1,0,0,0,0,9,1,0,0,2,3,0,0,1,0,0,1,0,2,0,0,0
 24-34,0,0,51.71,31.19,0,0.82,0,0.82,0,0.82,18.06,0,0,0,9.85,23.8,0,0,9.03,0,0,7.39,0,0.82,0,0.82,0
 36-46,0,0,30.62,0.81,0,1.61,0,0,0,0,2.42,0,0,0,2.42,4.83,0,0,2.42,0,0,2.42,0,2.42,0,3.22,0
 48-58,0,0,27.54,4.02,1.72,1.72,0,0,0,0,2.3,0,0,0,3.44,6.89,2.3,0,2.3,0,0,1.15,0,1.15,0,8.03,0
 60-70,0,0,26.5,11.78,3.93,6.87,0,0,0,0,0.98,0,0,0,2.94,2.94,1.96,0.98,3.93,0,0,1.96,0,0,0,7.85,0
 72-82,0,0,26.5,31.41,3.93,4.91,0,0.98,0,8.83,2.94,0,0,0,1.96,15.71,3.93,0,2.94,0.98,0,0.98,0,0,0,22.58,0.98
 84-94,0,0,64.78,41.42,2.12,7.43,0,1.06,1.06,4.25,4.25,1.06,0,0,0,7.43,4.25,0,5.31,0,1.06,3.19,0,0,0,14.87,1.06
 96-106,0,0,48.09,51.36,4.37,5.46,1.09,1.09,2.19,3.28,1.09,0,1.09,2.19,4.37,10.93,2.19,0,6.56,1.09,0,1.09,0,0,0,21.86,0
108-118,0,0,55.92,71.23,4.6,8.43,0,0,1.53,6.13,0.77,0,0,0,1.53,3.83,2.3,0,6.13,0.77,0,0,0,0,1.53,16.09,0
120,0,0,96.03,86.23,0,3.92,0,0,0,3.92,0,0,0,0,0,3.92,7.84,0,3.92,0,0,0,0,0,0,23.52,1.96
