stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,83,0,0,1,0,0,0,0,0,1,2,0,1,0,3,0,2,0,0,0,5,1,0,0,0,14,3,0,0,2,13,0,0,0,0,1
 24-34,0,1.64,0,122.31,0.82,0,3.28,0,9.85,2.46,0,0,0,4.93,0,0,0,17.24,0,17.24,2.46,0,11.49,10.67,0.82,0,4.1,0,52.53,0,0,0,2.46,9.85,0,0,0.82,0,13.13
 36-46,0,0.81,0,60.43,0,0,4.83,0,13.7,1.61,0,0,0,4.83,0,0,0,19.34,0,60.43,3.22,1.61,6.45,14.5,0,0.81,4.83,0,50.76,0,0,0,0,3.22,0,0,0,0,9.67
 48-58,0,0,0,38.44,0,0,13.77,0,19.51,2.3,0.57,0,0,4.02,0,0,0,13.2,0.57,93.53,3.44,0,13.2,22.38,0.57,0,6.31,0.57,20.66,0,0,0,0,8.61,0,0,0,0,6.89
 60-70,0,0.98,0,46.13,0.98,0,197.29,0,31.41,3.93,2.94,0,0,0,0,0.98,0.98,14.72,0.98,191.4,5.89,0,9.82,17.67,0,0,3.93,0,43.19,0,0.98,0.98,0,6.87,0,0.98,1.96,0.98,5.89
 72-82,0,0.98,0,42.21,0,0,364.2,0,19.63,3.93,2.94,0,0,1.96,0,0,0,14.72,2.94,214.98,13.74,2.94,14.72,23.56,0,0,11.78,0,17.67,0,0,0,0,4.91,2.94,3.93,5.89,0.98,2.94
 84-94,0,2.12,0,103.02,1.06,0,265.51,1.06,33.99,5.31,7.43,3.19,0,2.12,0,2.12,0,15.93,3.19,127.44,8.5,0,9.56,13.81,0,0,5.31,2.12,58.41,0,0,0,0,6.37,9.56,0,4.25,2.12,6.37
 96-106,0,4.37,0,83.06,1.09,0,239.33,0,37.16,7.65,2.19,6.56,1.09,0,0,3.28,3.28,13.11,5.46,137.7,9.84,4.37,12.02,17.49,0,2.19,9.84,3.28,54.64,0,0,1.09,0,1.09,7.65,5.46,8.74,2.19,12.02
108-118,0,2.3,0,78.89,0.77,0,154.72,0,39.06,6.89,0.77,5.36,0.77,3.06,0.77,0,3.83,17.62,2.3,108,5.36,0.77,7.66,13.02,0,0,6.13,3.06,29.87,0,0,0,0,2.3,10.72,2.3,6.89,3.06,5.36
120,0,5.88,0,76.43,0,1.96,111.71,0,37.24,5.88,1.96,5.88,0,1.96,0,1.96,0,1.96,5.88,70.55,3.92,0,1.96,19.6,0,1.96,7.84,1.96,35.28,0,0,0,0,0,11.76,3.92,5.88,1.96,3.92
