stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,1,7,1,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,14.78,0.82,0,0,0,7.39,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0.81,0,0.81,0,0,33.03,0,0,0,0,4.03,0,0,0
 48-58,0.57,0,0,0,5.16,0,2.87,0,0,0,0.57,0,0,0,25.25,0.57,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,45.15,0,2.94,0,0,0,0.98,0,0.98,0,32.39,0,0,0,0,2.94,0,0,0
 72-82,1.96,0.98,0,0,216.95,0,7.85,0,0,0,7.85,0.98,0,0,29.45,0,0,0,1.96,0.98,0,0.98,0.98
 84-94,0,1.06,2.12,0,96.65,1.06,13.81,0,0,0,2.12,0,0,0,21.24,0,0,0,0,2.12,0,0,0
 96-106,0,1.09,0,0,181.41,0,9.84,2.19,0,0,14.21,1.09,0,0,28.41,2.19,0,0,0,0,1.09,0,0
108-118,0,0,0.77,1.53,72.77,0,2.3,1.53,0,0,3.83,0,0,0,14.55,0.77,0,0,0.77,0,0,0,0
120,0,0,0,0,52.91,0,5.88,1.96,0,0,7.84,1.96,0,0,25.48,0,3.92,0,0,0,0,0,0
