stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,3,0,2,0,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,1.64,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0
 72-82,1.96,0,0,0,0,0,2.94,0,0,0.98,0.98,0,1.96,0,0,0
 84-94,1.06,0,0,0,1.06,0,10.62,0,1.06,0,0,0,0,0,0,0
 96-106,1.09,1.09,0,0,0,0,17.49,0,3.28,0,0,0,0,0,0,0
108-118,1.53,1.53,0.77,0.77,0.77,0.77,13.02,0.77,2.3,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,0,13.72,0,0,0,0,0,1.96,0,0,0
