stage,blastomeres,epidermis,eye,fin_mesenchyme,heart,lateral_line,mesenchyme,neural,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,8.21,2.46,0,0,5.75,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,4.83,0,0.81,0,1.61,0,0
 48-58,0,0,0.57,0,0,1.15,0.57,9.18,1.72,0.57,0,1.15,0,0
 60-70,0,0,1.96,0,0,4.91,0,11.78,2.94,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,0.98,10.8,8.83,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,7.43,0,3.19,11.68,0,0,1.06,0,0
 96-106,0,1.09,0,0,0,12.02,0,1.09,12.02,0,0,0,2.19,0
108-118,0,0,0,0,0,9.96,0,4.6,9.19,0,0,0,0,0.77
120,0,0,0,0,0,15.68,0,3.92,5.88,0,1.96,0,0,0
