stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
 24-34,0,0,4.93,0,0,0,0,0,64.85,0,0,0,0,0,0.82,4.1,0,0,0,0.82,0,0.82,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,74.12,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0,4.03,0,0.81
 48-58,0,0,0,2.3,0,0.57,0,0,71.15,0,0,0,8.61,0,0.57,2.87,0,0,0,0,0,0.57,5.16,0,4.02
 60-70,0,0,0.98,2.94,0,0,0,0,92.26,0,0,0,2.94,0,0,4.91,0,0.98,0,0.98,0,0,10.8,0,2.94
 72-82,0,0,4.91,0.98,0,0,0,0,157.07,0,0,0,0,1.96,0.98,1.96,0,0,0.98,0,0,0.98,17.67,0,4.91
 84-94,0,0,2.12,3.19,0,0,0,0,206.04,0,0,0,3.19,1.06,0,2.12,0,0,0,0,0,0,23.36,1.06,3.19
 96-106,0,2.19,6.56,3.28,0,0,0,0,278.68,1.09,0,1.09,0,4.37,0,7.65,0,0,4.37,1.09,0,0,30.6,0,0
108-118,0,0.77,4.6,1.53,0.77,0.77,0.77,0,234.38,0,0.77,0,0,3.06,0,9.19,0,0.77,1.53,0,0,0,22.21,0,1.53
120,0,0,7.84,1.96,0,0,0,0,225.38,0,1.96,0,0,1.96,1.96,3.92,1.96,0,1.96,0,0,0,15.68,0,0
