stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,6.29,0,0,3.15,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,2,124,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,17,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
 24-34,0,0,0,925.1,0,0,15.6,0,21.34,0.82,0.82,0,0,1.64,0,0,0,0,0,0,53.36,18.06,0,13.13,97.68,0.82,3.28,0.82,0,0,4.93,0,0.82,0.82,18.88,0,0,3.28,0,1.64
 36-46,0,0,0,712.21,0.81,0,11.28,0,45.92,4.03,5.64,0.81,0,0.81,0,0,0,0.81,0.81,0,99.1,9.67,0,12.09,101.51,0.81,6.45,0.81,0,0,4.03,0,0,0,20.95,0,0,2.42,0,0
 48-58,0,0,0,634.63,0.57,0,40.74,0.57,85.5,10.33,13.77,0.57,0,0.57,0,1.15,0,0.57,0,0,329.94,8.03,0.57,6.31,103.86,0.57,5.74,0.57,0,0,3.44,0,0,0,21.23,0,0,0.57,0,2.87
 60-70,0,0,0,553.58,2.94,0,66.74,0,75.58,11.78,10.8,0,0,0.98,0.98,0.98,0,0.98,0,0,837.24,3.93,3.93,4.91,69.69,0,6.87,2.94,0,0,3.93,0,1.96,0,11.78,0,0,3.93,1.96,2.94
 72-82,0,0,0,579.18,1.96,0,101.11,0.98,86.39,22.58,58.9,0,0,1.96,0,1.96,0,0.98,1.96,0.98,1449.91,9.82,6.87,13.74,181.61,0,7.85,7.85,0,3.93,5.89,0,1.96,0,15.71,0,4.91,7.85,5.89,2.94
 84-94,0,0,0,1032.3,3.19,0,157.18,0,161.43,16.99,22.3,0,0,2.12,1.06,1.06,3.19,0,1.06,3.19,1053.54,11.68,4.25,8.5,88.15,1.06,6.37,6.37,0,3.19,9.56,0,1.06,0,11.68,2.12,5.31,2.12,2.12,1.06
 96-106,0,0,0,1155.14,2.19,3.28,135.51,0,175.95,16.39,30.6,5.46,0,2.19,7.65,3.28,0,3.28,5.46,1.09,883.02,16.39,3.28,5.46,73.22,4.37,17.49,5.46,0,1.09,3.28,0,1.09,0,2.19,1.09,9.84,8.74,8.74,3.28
108-118,0,0,0,1266.14,3.83,0.77,129.45,0.77,269.62,16.09,36,9.19,0,0.77,3.06,11.49,3.83,0.77,2.3,3.06,752.94,13.02,2.3,11.49,95.75,2.3,18.38,7.66,0,2.3,5.36,0,0.77,0,2.3,0,3.06,2.3,6.89,0.77
120,1.96,0,0,954.42,5.88,0,50.95,0,229.29,15.68,33.32,9.8,0,1.96,1.96,1.96,1.96,1.96,3.92,0,791.75,15.68,3.92,11.76,66.63,1.96,9.8,7.84,0,0,5.88,0,0,0,0,1.96,3.92,3.92,17.64,0
