stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,hatching_gland,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,70.98,0,0,18.4,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,53.5,3.15,0,15.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,4.37,0,0,0,3.28,0,0,0,0,0
108-118,0,0,0,0.77,0,5.36,0,0,0.77,5.36,0,0.77,0,0.77,0
120,0,0,0,0,0,15.68,0,0,0,15.68,0,0,0,0,1.96
