stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,mesenchyme,mural_cell,neural,periderm,somites,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,3.28,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,1.15,0,0,0.57,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0
