stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,380.04,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,13.14,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.27,7.89,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,22.03,0,3.15,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,169.94,12.59,0,0,88.12,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,28,4,10,0,0,1,0,0,1,0,0,0,0,1,10,0,0,7,148,3,3,3,2,2,26,3,3,13,69,0,0,1,0,0
 24-34,0,0,0.82,6.57,1.64,22.16,0,0,1.64,0,0,0,0,0,0,0.82,0.82,20.52,0,0,7.39,197.83,0,4.1,0.82,0,3.28,0,0,0,2.46,38.58,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,33.84,0,1.61,8.06,0,0,0,0.81,0,0,0,0,21.75,0.81,0.81,6.45,197.39,2.42,3.22,0.81,0,2.42,0,0,0,0,45.92,0,0,1.61,0,1.61
 48-58,0,0,0,0.57,0,57.38,0.57,0.57,16.07,0.57,0,0,0,0,0,0.57,0,23.53,0,0,3.44,109.6,0,1.15,1.72,0,2.3,0,0.57,0,0,27.54,0,0,1.15,0,1.15
 60-70,0,0,0,0.98,0,78.52,0,0.98,19.63,0,0,0,0,0,1.96,0,0,25.52,0,0.98,3.93,126.62,0,1.96,0,0,6.87,0,0,0,0,13.74,0,0.98,4.91,0,0
 72-82,0,0,0,3.93,0.98,64.79,0,1.96,17.67,1.96,0,1.96,0.98,1.96,0,1.96,0,32.39,0,0,7.85,75.59,0,1.96,1.96,0,1.96,0,0,0,0,7.85,0.98,0.98,0,0.98,0
 84-94,0,0,0,2.12,5.31,36.11,1.06,0,11.68,0,0,1.06,0,0,0,0,1.06,25.49,1.06,2.12,0,53.1,1.06,0,1.06,0,7.43,0,0,0,0,6.37,0,3.19,1.06,1.06,0
 96-106,0,0,0,5.46,1.09,21.86,0,0,17.49,1.09,0,1.09,0,2.19,0,0,1.09,17.49,0,0,1.09,37.16,1.09,2.19,0,0,9.84,0,0,0,0,1.09,0,2.19,6.56,1.09,0
108-118,0,0,0,3.06,0.77,22.98,0,2.3,10.72,0.77,0,0.77,0.77,1.53,0.77,0,0.77,17.62,0,0,2.3,41.36,0,1.53,0,0,4.6,0,0,0,0,0.77,1.53,0,6.89,0.77,0.77
120,0,0,0,5.88,0,15.68,0,0,5.88,1.96,0,0,3.92,0,0,3.92,0,11.76,0,1.96,3.92,52.91,0,0,1.96,0,13.72,0,1.96,0,0,1.96,0,3.92,5.88,0,0
