stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,0,0,21,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,47,1,5,10,0,3,1,5,5,8,18,0,0,0,0
 24-34,0,0,0,2.46,2.46,0,0,45.15,0,0.82,0.82,0.82,5.75,0,0,0,1.64,0,0.82,4.1,0.82,3.28,0.82,0,0,70.59,0,38.58,2.46,0,0.82,0,11.49,0,0.82,52.53,0,0,0,1.64
 36-46,0,0,0,1.61,0.81,0,0,37.06,0,0,0,4.83,7.25,0,0,0.81,0.81,0.81,0,2.42,1.61,2.42,0,0,0,43.51,0,13.7,0.81,0,0,0,11.28,0,0,45.92,0,0,0,3.22
 48-58,0,0,0,2.3,1.72,0,0,185.34,0,0.57,0,4.59,7.46,0.57,0,0,0.57,5.16,0,1.15,2.3,6.31,0,0,2.3,31.56,0,6.31,0.57,0,0,0,8.61,0,0,26.4,0,0.57,0,3.44
 60-70,0,0,0,0,0,0,0,585.97,0,0.98,0.98,19.63,7.85,0,0.98,1.96,1.96,28.46,0,0.98,0,4.91,0,0,0,28.46,0,4.91,0,0,0.98,0,6.87,0,0,18.65,0,0,0,3.93
 72-82,0,0,0,1.96,3.93,0.98,0,878.59,0.98,0.98,1.96,57.92,8.83,0,0,0.98,6.87,35.34,0,1.96,2.94,14.72,0,0,3.93,72.64,0,1.96,1.96,0,0,0,19.63,0,0,5.89,0,1.96,2.94,0.98
 84-94,1.06,0,3.19,7.43,9.56,1.06,1.06,788.03,2.12,0,1.06,45.67,48.85,0,0,0,12.74,19.12,0,1.06,0,8.5,1.06,0,6.37,40.36,0,6.37,3.19,0,2.12,0,25.49,0,0,5.31,1.06,1.06,1.06,1.06
 96-106,0,0,2.19,14.21,8.74,1.09,0,679.75,0,1.09,0,57.92,63.39,0,0,9.84,22.95,12.02,0,3.28,0,9.84,0,0,1.09,45.9,0,14.21,1.09,0,2.19,0,25.14,0,0,6.56,1.09,3.28,1.09,1.09
108-118,0,0,1.53,17.62,16.09,1.53,3.06,471.07,2.3,1.53,0,45.96,81.96,0,0,7.66,9.19,17.62,0,5.36,0.77,12.26,0.77,0.77,3.83,60.51,0,4.6,0.77,0,3.06,0,31.4,0,0,3.83,1.53,0.77,0,0
120,0,0,0,3.92,27.44,0,1.96,266.53,1.96,1.96,0,41.16,37.24,0,1.96,5.88,9.8,9.8,0,1.96,1.96,0,0,0,3.92,39.2,0,9.8,1.96,0,1.96,1.96,15.68,0,0,5.88,0,3.92,0,0
