stage,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0
 10-12,0,0,3.15,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,4,1,1,6,0,1,1,0,3,0,0
 24-34,0,0.82,0,0,2.46,0.82,0,9.03,0.82,0,0,0,3.28,0,0
 36-46,0,0,1.61,0.81,1.61,1.61,0.81,1.61,0.81,0.81,0,0,0.81,0,0
 48-58,0,0,2.3,1.15,0,1.72,0,2.87,0.57,0,0,0,3.44,0,0.57
 60-70,0,0,3.93,0,0.98,0,0,2.94,0.98,0,1.96,0,0,0.98,0
 72-82,0,0,2.94,0,0.98,1.96,0,3.93,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,0,0,1.09,0,0
108-118,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0
