stage,axial,blastomeres,endoderm,epidermis,eye,glial,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,220.67,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,2.63,0,0,0,0,31.54,2.63,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,6.57,0,0,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,0,1.61,0.81,0,0.81,0,19.34,0,0,0,0.81,0.81,0,0,0,6.45,0
 48-58,0,0,0,0,4.59,0.57,0.57,0.57,0,12.62,0,0.57,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0.98,9.82,0.98,1.96,3.93,0,7.85,0,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,0,2.94,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,1.53,1.53,0,0.77,0,3.06,0,0,0,0,0.77,0,0.77,0,0.77,0
120,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0
