stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,129.7,2.46,1.64,0,0.82,0,0,0,0,1.64,0,0,0,8.21,0.82,0,0,0,0,16.42,2.46,0,0,0,0
 36-46,0,0,198.19,1.61,8.86,0.81,0,0,0,0,0,1.61,2.42,0,0.81,5.64,0.81,0.81,0,0,0.81,1.61,0.81,0,0,0,0
 48-58,0,0,110.17,2.3,18.36,0,1.72,0,0.57,0,0,0.57,1.72,0,0.57,9.75,0,0,0,0,0,0,2.3,0,0,0.57,0.57
 60-70,0,0,122.69,6.87,11.78,0.98,0.98,0.98,0,0,0,1.96,1.96,0,0,7.85,0,0,0.98,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,116.82,5.89,10.8,0,2.94,1.96,0,0,2.94,3.93,0.98,0,0.98,6.87,0,0.98,0,0,0.98,0,0,4.91,0,0,0
 84-94,0,0,232.59,3.19,28.68,0,0,3.19,0,0,4.25,1.06,1.06,0,0,3.19,0,1.06,1.06,0,0,0,0,9.56,0,0,0
 96-106,0,0,245.89,9.84,25.14,0,0,2.19,0,2.19,2.19,3.28,4.37,1.09,0,4.37,0,7.65,0,0,1.09,0,0,12.02,0,1.09,0
108-118,0,0,199.15,2.3,33.7,0.77,2.3,9.96,0,0,1.53,1.53,3.06,0,0.77,4.6,0,6.89,0,0,0,0,0,12.26,0.77,0,0
120,0,0,88.19,1.96,13.72,0,0,5.88,0,0,3.92,1.96,5.88,0,0,9.8,0,1.96,0,0,0,0,0,3.92,0,0,0
