stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,2,0,3,1,1,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,9.03,0,3.28,0,1.64,0.82,0,0.82,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,1.61,0,0,6.45,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0.57,0,0,0,4.59,0,0.57,0,0,1.72,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0,0,0,8.83,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,0,2.94,0,0,1.96,0,0,0,0,62.83,0,2.94,0,0.98,5.89,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,0,0,0,3.19,0,1.06,0,0,44.61,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,1.09,0,7.65,5.46,0,14.21,0,0,0,4.37,4.37,0,1.09,3.28,2.19,2.19,536.59,0,10.93,1.09,0,71.04,4.37,1.09,8.74,2.19,3.28,1.09,4.37,1.09,1.09
108-118,0,2.3,2.3,5.36,0.77,15.32,0,0.77,0,5.36,2.3,0,0.77,0.77,0,0,975.84,2.3,9.96,0,1.53,78.13,0,3.06,5.36,0.77,0.77,0,0,0,0.77
120,0,0,3.92,3.92,0,11.76,0,3.92,0,7.84,1.96,0,1.96,0,0,0,740.8,0,11.76,0,5.88,58.79,0,0,7.84,0,1.96,0,0,0,0
