stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,13,1,0,5,0,0,0,3,2,0,0,0,0,1,0,1,6,0,0,6,78,2,4,0,0,0,0,0,4,1,0,11,48,0,0,2,0,1
 24-34,0,8.21,0.82,19.7,1.64,0,27.09,0,2.46,1.64,22.98,0,1.64,0,4.1,0.82,18.88,0,18.88,77.98,0,0.82,27.91,743.7,0.82,32.83,5.75,0,0.82,0.82,0,0,1.64,0,1.64,180.59,0,0,26.27,0,7.39
 36-46,0,1.61,0,11.28,0,0,37.06,0.81,1.61,3.22,33.84,0,1.61,0,1.61,0.81,13.7,0.81,23.36,99.9,0,1.61,40.28,1220.59,0.81,41.89,11.28,0,0,2.42,0,0,0,0,0,294.07,0,0.81,18.53,0,3.22
 48-58,0,1.15,0,17.21,1.15,0,162.39,1.72,2.87,8.61,91.81,0,4.02,2.87,2.87,0.57,12.05,1.72,18.94,181.32,1.72,16.64,34.43,1762.73,1.72,24.1,16.07,0.57,1.15,4.02,0,0,1.15,0.57,0,412.57,0,1.72,18.36,0,4.02
 60-70,0,1.96,0,38.28,0.98,0,283.66,0,3.93,18.65,127.6,1.96,3.93,1.96,9.82,3.93,14.72,0.98,14.72,333.72,0,21.59,41.22,2083.77,0.98,33.37,15.7,0,2.94,4.91,0,0,2.94,0,0,426.96,0,11.78,33.37,5.89,6.87
 72-82,0,2.94,0.98,46.14,1.96,0,455.49,0.98,0.98,33.38,188.48,4.91,4.91,2.94,7.85,2.94,38.28,0.98,10.8,448.62,0,20.61,58.9,1681.59,2.94,52.03,32.39,0,4.91,0.98,0,0,0.98,0,0,265.05,4.91,17.67,71.66,19.63,4.91
 84-94,0,6.37,1.06,69.03,4.25,0,350.47,1.06,4.25,21.24,138.06,5.31,6.37,2.12,18.05,10.62,22.3,1.06,9.56,271.88,2.12,35.05,32.92,815.64,0,44.61,24.43,0,3.19,7.43,0,0,3.19,0,0,148.69,4.25,18.05,46.73,11.68,4.25
 96-106,0,5.46,1.09,38.25,5.46,0,210.92,1.09,2.19,13.11,103.82,5.46,10.93,4.37,14.21,5.46,25.14,3.28,20.76,239.33,0,17.49,45.9,574.84,0,76.5,21.86,0,13.11,2.19,1.09,0,2.19,1.09,0,49.18,6.56,6.56,59.01,24.04,5.46
108-118,0,4.6,3.06,49.02,3.06,0,186.13,2.3,5.36,15.32,113.36,8.43,4.6,2.3,12.26,6.89,29.11,2.3,22.98,276.51,0,18.38,40.6,696.26,2.3,51.32,25.28,0,9.19,5.36,0,0,2.3,0,0,38.3,7.66,6.89,58.98,9.96,12.26
120,0,9.8,1.96,76.43,7.84,1.96,264.57,3.92,1.96,33.32,197.94,13.72,7.84,15.68,21.56,5.88,31.36,7.84,17.64,358.64,1.96,47.03,62.71,1089.64,3.92,74.47,33.32,1.96,13.72,3.92,0,0,1.96,0,0,54.87,9.8,11.76,82.31,21.56,3.92
