stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0.57,1.72,0,0,0,0,0,4.02,0,0.57,0,0,0,4.02,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,0.98,5.89,0,0,0,0,0,26.5,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0
 72-82,0,0.98,1.96,0.98,0,11.78,0,0,1.96,5.89,92.28,0,0.98,0,0.98,0,146.27,0,11.78,0,0,0,51.05,0,0.98,1.96,0,2.94,0,0,0,0.98,0,0,1.96,0.98,0.98
 84-94,0,0,3.19,2.12,1.06,20.18,0,1.06,0,3.19,151.87,0,0,0,1.06,0,493.85,0,9.56,0,0,0,37.17,0,0,1.06,0,4.25,0,0,0,0,0,0,2.12,1.06,0
 96-106,0,2.19,12.02,13.11,1.09,38.25,0,1.09,3.28,20.76,300.53,2.19,6.56,3.28,0,0,767.18,1.09,39.34,3.28,2.19,7.65,193.43,0,3.28,0,0,28.41,0,1.09,0,1.09,4.37,1.09,7.65,1.09,0
108-118,0,0,11.49,3.06,5.36,24.51,0,3.06,2.3,14.55,296.43,0.77,2.3,1.53,2.3,2.3,1486.73,0,22.21,1.53,1.53,1.53,137.87,3.06,1.53,3.83,0.77,9.96,0.77,0,0,0.77,2.3,0,2.3,1.53,0.77
120,0,0,5.88,1.96,0,13.72,1.96,1.96,0,7.84,213.62,0,0,0,0,0,772.16,0,15.68,0,1.96,3.92,88.19,0,1.96,0,0,13.72,0,0,0,0,0,0,0,0,0
