stage,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,7.89,0,0,0
 10-12,0,0,6.29,0,0,0,0,18.88,0,3.15,0,0,0
 14-21,0,0,0,0,0,1,1,3,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0,6.45,0.81,0,0.81,0.81,0
 48-58,0,0,0.57,0.57,0,0,0,4.02,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,12.76,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,7.85,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,10.62,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,5.46,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0.77,9.96,0,0,0,0,0
120,0,0,1.96,0,0,0,0,11.76,0,0,0,0,0
