stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,vasculature
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,7.89,0,0,0,0,86.75,2.63,39.43,0,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,3.15,0,0,0,0,84.97,0,31.47,0,0,0,3.15,0
 14-21,0,0,0,25,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,2
 24-34,0,0,0,16.42,0,0,0,0.82,2.46,2.46,0,0.82,0.82,0,0,0,0,0,0,11.49
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 96-106,0,0,0,1.09,0,0,1.09,0,0,6.56,0,0,0,0,0,1.09,0,0,0,5.46
108-118,0,0,0,0,0,0,0,0,0,3.83,0,0.77,0,0,0,0,0,0,0,6.13
120,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96
